radius,crop,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse,mean_delta_vs_global40
1,0,mean,blend0.02,0.06814254080950478,0.06458496398840846,0.0714224357917574,
8,1,mean,blend0.02,0.0681458226288377,0.0645431869607113,0.07141556964848973,
32,0,mean,blend0.01,0.06814742596884024,0.06452478566281478,0.07142611509827922,
32,0,median,blend0.01,0.0681572834696404,0.06452388764200155,0.07144561837735029,
8,0,mean,blend0.02,0.06816027819692333,0.06452673861937042,0.07142799884546908,
8,1,median,blend0.02,0.06816555812974397,0.06457976837318172,0.07142646143341319,
8,0,median,blend0.02,0.0681699715116268,0.06452534071038782,0.07142750808770205,
16,1,mean,blend0.02,0.06817560878721804,0.06456991532601283,0.07144823104610003,
32,1,mean,blend0.02,0.06819183682425865,0.06458946126420877,0.07147785917801815,
4,1,mean,blend0.03,0.06819406543013627,0.06460704557292984,0.07142734536498181,
2,1,mean,blend0.03,0.06820069691859404,0.06457349973391364,0.07145240300690713,
2,1,median,blend0.03,0.06820573476917496,0.06458808938182863,0.07145769312373633,
16,1,median,blend0.02,0.06820656912005062,0.06460437227222393,0.07147236590010016,
16,0,mean,blend0.02,0.06821051813905613,0.06457630225025367,0.07148216544948571,
32,1,median,blend0.02,0.06821673527894155,0.06459979494375018,0.07151071593236843,
4,1,median,blend0.03,0.06822026291186276,0.06468777354150308,0.07144311349231475,
2,0,mean,blend0.03,0.06822303621245052,0.06454875482746229,0.07148628314131227,
4,0,mean,blend0.03,0.06822369504653937,0.06459125359408195,0.07145051061597305,
1,1,median,blend0.03,0.06822527126492549,0.06472681570943964,0.07148469386186665,
1,1,mean,blend0.03,0.06822527126492549,0.06472681570943964,0.07148469386186665,
2,0,median,blend0.03,0.06823100324709568,0.06456691602354389,0.07149080378474994,
16,0,median,blend0.02,0.06823570770366068,0.06459117126755667,0.07151809738190577,
8,1,mean,blend0.03,0.06824258096294356,0.06464825429268951,0.0714963759019217,
4,0,median,blend0.03,0.06824862848669157,0.06464271070314519,0.07147705832804163,
1,0,mean,blend0.03,0.06824931638051589,0.06472071767505522,0.07151917875985715,
1,0,median,blend0.03,0.06824931638051589,0.06472071767505522,0.07151917875985715,
32,0,mean,blend0.02,0.06825723840114858,0.0646246156113733,0.07152365009926066,
8,0,mean,blend0.03,0.06826413039200557,0.06462118236214398,0.07151748843113583,
8,1,median,blend0.03,0.06828072771867999,0.06471226432783475,0.07151992972485688,
32,0,median,blend0.02,0.06828304945182334,0.06463014113734906,0.07156814091398667,
16,1,mean,blend0.03,0.06828474571391611,0.06468539867635505,0.0715437561300997,
8,0,median,blend0.03,0.06828750894842502,0.06462808409144481,0.07152496168912449,
32,1,mean,blend0.03,0.06830676416613238,0.06471192885613913,0.071586710781002,
16,0,mean,blend0.03,0.06833878357042913,0.06469573787383613,0.07159700647399807,
16,1,median,blend0.03,0.06834005394563819,0.06474652222452361,0.07158821010804843,
32,1,median,blend0.03,0.0683527276445427,0.06473629622171817,0.07164398767033217,
16,0,median,blend0.03,0.06838605014097905,0.06472872517734098,0.07165939089950724,
