seed,same_crop,k,method,rmse,mae,n
0,False,1,peer,0.1489208045366256,0.1035431597388827,2590
0,False,1,blend25,0.08519383316012549,0.05640182714263538,2590
0,False,1,blend50,0.10047889486768856,0.06884921013178921,2590
0,False,1,lagblend25,0.08325417051328456,0.05500007663609521,2590
0,False,3,peer,0.14520562091493003,0.10464261274920338,2590
0,False,3,blend25,0.08565147870791663,0.057291065840414684,2590
0,False,3,blend50,0.10009063307418412,0.07017610890188278,2590
0,False,3,lagblend25,0.08340792299615703,0.055650496341626714,2590
0,False,5,peer,0.14732871816019563,0.1075999021126482,2590
0,False,5,blend25,0.08622959573996769,0.05794525268174822,2590
0,False,5,blend50,0.10126271676320148,0.07158235172309967,2590
0,False,5,lagblend25,0.08387641294520079,0.0562065369403207,2590
0,False,10,peer,0.15228095957785384,0.1124592857097443,2590
0,False,10,blend25,0.08713168938762955,0.059047924925436215,2590
0,False,10,blend50,0.10348886510580468,0.07397253443491782,2590
0,False,10,lagblend25,0.08464592827369326,0.057186497733753526,2590
0,True,1,peer,0.15256918411945056,0.10655243864298568,2510
0,True,1,blend25,0.0865079216707238,0.05714177801748025,2510
0,True,1,blend50,0.10262430446300368,0.07050229769155829,2510
0,True,1,lagblend25,0.08442992949599121,0.055620756003291,2510
0,True,3,peer,0.14840432406102885,0.10716766600252924,2510
0,True,3,blend25,0.08642566367458956,0.05776089717361915,2510
0,True,3,blend50,0.10150794163895849,0.07123726233752654,2510
0,True,3,lagblend25,0.0840007430718539,0.05599625276454284,2510
0,True,5,peer,0.15068151251696296,0.10992765365804626,2510
0,True,5,blend25,0.08698460135002811,0.05834264709319054,2510
0,True,5,blend50,0.10269668312762778,0.07256257213663864,2510
0,True,5,lagblend25,0.08448764559144911,0.056520516644573165,2510
0,True,10,peer,0.15460807160200632,0.113765411553398,2510
0,True,10,blend25,0.08771554969854425,0.059240201893632195,2510
0,True,10,blend50,0.10448282493448831,0.07450770288889631,2510
0,True,10,lagblend25,0.08510686083026467,0.057324653358635604,2510
1,False,1,peer,0.15367432185050678,0.10480462911166828,2601
1,False,1,blend25,0.0821757594615947,0.05761975634016192,2601
1,False,1,blend50,0.10036770043924609,0.0704832584708287,2601
1,False,1,lagblend25,0.07891007438079166,0.05506183380642181,2601
1,False,3,peer,0.1480502976499746,0.10774888452249948,2601
1,False,3,blend25,0.08258411087837146,0.05889005368579203,2601
1,False,3,blend50,0.09940102665353164,0.07250192791268835,2601
1,False,3,lagblend25,0.07910625386096037,0.056168108314196497,2601
1,False,5,peer,0.14928680285789228,0.11073956516710694,2601
1,False,5,blend25,0.08296270244133416,0.05957744426137883,2601
1,False,5,blend50,0.10012695315309073,0.07401546647773737,2601
1,False,5,lagblend25,0.07940016464715179,0.05675641273915134,2601
1,False,10,peer,0.15281671547329037,0.11458408326654225,2601
1,False,10,blend25,0.08370984625761572,0.06042565096361215,2601
1,False,10,blend50,0.10182915955959047,0.07593514775918841,2601
1,False,10,lagblend25,0.08005141817651129,0.05758369710024631,2601
1,True,1,peer,0.15704579864060791,0.10781082565399018,2521
1,True,1,blend25,0.08197658519878777,0.058005928869008745,2521
1,True,1,blend50,0.1014091628766527,0.07176913570101273,2521
1,True,1,lagblend25,0.07876915013270533,0.05546144897120014,2521
1,True,3,peer,0.15171494806578148,0.11082811583922664,2521
1,True,3,blend25,0.0823099394803715,0.05909919342147204,2521
1,True,3,blend50,0.10041171696177008,0.07363949087354074,2521
1,True,3,lagblend25,0.0788170529680951,0.05640388156342337,2521
1,True,5,peer,0.1531271044869067,0.11367839517323004,2521
1,True,5,blend25,0.08275175855467663,0.05970389313659925,2521
1,True,5,blend50,0.1012496759947389,0.074983387915542,2521
1,True,5,lagblend25,0.07918254196391941,0.05698350475137463,2521
1,True,10,peer,0.1554315018275832,0.11649815290077012,2521
1,True,10,blend25,0.08329167107885288,0.06027269142496057,2521
1,True,10,blend50,0.10241843452540024,0.07631099476458812,2521
1,True,10,lagblend25,0.07961732953822219,0.05750537159554424,2521
2,False,1,peer,0.14946222211934096,0.10551105646918257,2594
2,False,1,blend25,0.08336427047452634,0.05608629572471676,2594
2,False,1,blend50,0.0995664264912969,0.06941067063359456,2594
2,False,1,lagblend25,0.08077276271130304,0.053755020829263846,2594
2,False,3,peer,0.14637119249691816,0.1069564555560998,2594
2,False,3,blend25,0.08381838614770158,0.05680858033739815,2594
2,False,3,blend50,0.09930908986160454,0.07054900267074238,2594
2,False,3,lagblend25,0.08101089448724316,0.054418124994473634,2594
2,False,5,peer,0.14918633028643316,0.11031359873131644,2594
2,False,5,blend25,0.08446556812284467,0.057603406781269614,2594
2,False,5,blend50,0.10072825643075692,0.07229112206709859,2594
2,False,5,lagblend25,0.0815555635478963,0.055082038249804365,2594
2,False,10,peer,0.1539326999703732,0.11486595881437445,2594
2,False,10,blend25,0.08545842445922487,0.05869113612397251,2594
2,False,10,blend50,0.10300929225011951,0.07461506757776902,2594
2,False,10,lagblend25,0.08241661799137723,0.05606918179844775,2594
2,True,1,peer,0.15043120383743616,0.10673729706425329,2498
2,True,1,blend25,0.0822235048606939,0.05569797753065862,2498
2,True,1,blend50,0.09903782795993092,0.06942886525522365,2498
2,True,1,lagblend25,0.07953899359188601,0.053479246673484894,2498
2,True,3,peer,0.15044885803162816,0.10978111947061299,2498
2,True,3,blend25,0.08323918712605578,0.05704262211579884,2498
2,True,3,blend50,0.1001671271524128,0.0716710458976999,2498
2,True,3,lagblend25,0.08022881065092978,0.05461398313517976,2498
2,True,5,peer,0.15381369342320178,0.11336321991259125,2498
2,True,5,blend25,0.08411555844916259,0.05784964468268989,2498
2,True,5,blend50,0.10197861930468169,0.07337942847628315,2498
2,True,5,lagblend25,0.08097114586684764,0.055325165175608995,2498
2,True,10,peer,0.15650766048691497,0.11644618436654139,2498
2,True,10,blend25,0.0847086563274662,0.058596336218196536,2498
2,True,10,blend50,0.10330768166586828,0.07504487446529336,2498
2,True,10,lagblend25,0.08148529670551886,0.05600185074263639,2498
