file,rmse,score,sha
model_dani_source_expert_route_v2_piecewise_alpha_submission.csv,0.06374286573450123,10.88,29633321f468d6e550dbb5bc758a2268a50cd4ce22495fb2c91dbff6bf808394
model_dani_source_expert_route_v2_submission.csv,0.06380651735525768,10.86,728153e07d98de92e561fcd155ae12ac2091805b669e2aab79ea740a42f6b440
model_dani_extwide40_v3_30_peerblend10_c80_history_shock10_state05_submission.csv,0.06492665079318923,10.52,1ef578e54fd25f3625811ca0d59ed4a942f3120459503b3a2373d57fc3da095d
model_dani_extwide40_v3_30_peerblend12_c80_history_shock10_state05_submission.csv,0.06495481378275375,10.51,d8a99167baaee55951b814e7a6c7531826768dc5fdf2b767a65edc31f9bdda74
model_dani_extwide40_v3_30_peerblend10_c60_history_shock10_state05_submission.csv,0.06498041902722476,10.51,03d6bc0775df908bf9c78cf991d95da9b6eb1aab459cc67ff3936510e9d35eb7
model_dani_lag40_peer10_extwide40_v3_30_spectral20_routed_submission.csv,0.06500718065956948,10.5,d3ae6717d5ee5756bfd1431bca9ec5edcf2011e3d7e65208baa754ec45e81790
model_dani_lag40_peer10_extwide40_v3_30_spectral30_historyonly_submission.csv,0.0650236652316758,10.49,0c177eec91e60011ef3bb6c72237e103f6e95f82d77177df7ae6169bf03df9ef
model_dani_extwide40_v3_30_peerblend09_c80_history_submission.csv,0.06504138888864797,10.49,e5075e30f61c7d432fab528ec78e174edcdc71a0fbcd3bb021f332fbbae2f41f
model_dani_lag40_peer10_extwide40_v3_30_spectral30_routed_submission.csv,0.06504347415006861,10.49,4638c2f96d04664969db8c8ba05a6ad08680e4cdbf6f2e7bbb06f1a854812689
model_dani_lag40_peer10_extwide40_v3_cohort_submission.csv,0.06507808551272413,10.48,987ff55852e1afe582159afb75395fb31776cac8f2340be84b3c3fc855e2c955
model_dani_lag40_peer10_extwide40_v3_30_spectral40_historyonly_submission.csv,0.0651065338687468,10.47,caa16441c5d37e77c1274de0280161339fe49b8e22a9397a5af6a468c56a5de8
model_dani_extwide40_v3_30_spectral40_history_lgbm10_submission.csv,0.06515410246589404,10.45,ff57553cd7bafd4430c6cdf9998eef5fbc1db26071592059b9b036af97a6c61d
model_dani_lag40_peer10_extwide40_v3_30_spectral40_routed_submission.csv,0.06515557757195041,10.45,adc44364b268278514b03b90fa76bce594fbaee83fb02fe4c299e1c72ba7fce9
model_dani_lag40_peer10_extwide40_v3_30_lgbm05_submission.csv,0.06515879595761491,10.45,d44202389cb624af2826492cea7b5608a25f1ebc60353748a5301e42fa483292
model_dani_lag40_peer10_extwide40_v3_30_submission.csv,0.06516226622202574,10.45,5ec1d9c6ad4531a0c1983ea9582b385fab72f9359305306663223bb626644e32
model_dani_extwide40_v3_30_peerblend07_submission.csv,0.06517015291747055,10.45,25d85ead3fc5e80c70fcbfe3b7e0519e1528ebb4e340e58173d6a41954300412
model_dani_lag40_peer10_extwide40_v3_30_lgbm10_submission.csv,0.06517016022874451,10.45,6606105600fa783ff52f099a11606e07b4f82423a95f4e11f57ba5e6f443e878
model_dani_extwide40_v3_30_peerblend08_submission.csv,0.06517230664187623,10.45,35989b999c58be6140b9665c89181ddeb7bf654d9d68900ab8f8c889786694ce
model_dani_extwide40_v3_30_peerblend10_submission.csv,0.06517738427986221,10.45,e5fa93115354d4c1ac6afa5de92fd2b487c4685d6f67ad86d41a5f80ea792a78
model_dani_lag40_peer10_extwide40_v3_30_lgbm15_submission.csv,0.06519635171139194,10.44,3d450c08b2e3ebc6e9c4875d494a37ed2d95dd0c3e90ef42e5cd0f79a47304ec
model_dani_extwide40_v3_30_peerblend10_history_submission.csv,0.06520279821015208,10.44,6274332f2ff97ff41342d31a7918336d5358bd0d508efc7866e4ddec8961627b
model_dani_spectral50_sourcecorr25_submission.csv,0.06520292847886734,10.44,4385236c8b7311823f9d2009b383a18f97f4d7e1dd3d76d317440d95f902c51d
model_dani_extwide40_v3_30_peerblend12_history_submission.csv,0.06521319682896821,10.44,8362c1280266b56b334725f6bd2e3346b75d9b65f0781ab0110914be259d8948
model_dani_lag40_peer10_extwide40_v3_30_lgbm20_submission.csv,0.06523735224231779,10.43,af8817522993df59ffe73b2c88c25916c253ce59af61f56f002601a4468d5c24
v3_cohort_h40_s40_new2025_00_submission.csv,0.06524582701184174,10.43,f87978452db1f173c8214fc634d0b23c8c2ae3714c680a632b8b19af74116f1d
v3_cohort_h40_s30_new2025_00_submission.csv,0.06525266894379113,10.42,dd98f9fed0ac0995210792f75a4a68470b00138b65bd45d2ec769cb0470a0956
model_dani_lag40_peer10_extwide40_v3_30_spectral50_historyonly_submission.csv,0.0652536868435399,10.42,63ada9677b2dce91cfdabbbacdb3844ae8a31a9381843b518319a083f1b112ac
model_dani_spectral50_sourcecorr50_submission.csv,0.06531587263032272,10.41,ad8995cb42a9463451efb6a9fa79b335c738c00784bae096e6befdb19afb2b93
v3_cohort_h30_s30_new2025_00_submission.csv,0.065484949152259,10.35,382c7dade9895c72108c00c52c4f242cf1ed6b84650e5232872088dbfcad67db
model_dani_spectral50_sourcecorr75_submission.csv,0.06559167365142865,10.32,a766816a3f4eb49c661efa9db968000e0de3516d9264fffcad811096606ec622
model_dani_lag40_peer10_cohort_holdout_opt_wide_submission.csv,0.06560428522517799,10.32,66048f541ff3f65d5d047018cf7abf2da1998beab233ea75cc3faed60edab7d2
model_dani_lag40_peer10_cohort_history_focus_wide_submission.csv,0.06562280167833998,10.31,25a3bcb2a24526cdb6a55ab0447b3657b3e892b04a3f31f50ec06f0154170462
model_dani_extended_hgb_v3_wide.csv,0.0656253021844256,10.31,dc51551ee049c916e4b27315d1b082f75053cb01f5be5a4dc66a04446dc95c56
model_dani_lag40_peer10_cohort_aggressive_wide_submission.csv,0.06563560635160287,10.31,e19bb496ed9fd5f7a7754f36765cf5605a307940f1e4e8d7576540c89be69382
model_dani_lag40_peer10_cohort_balanced_wide_submission.csv,0.06565658031873975,10.3,64ce5ddbcac8aec507550f5c9567d606d710761170036d44a2d8450c1eb681e4
model_dani_lag40_peer10_extwide40_submission.csv,0.06566346490630023,10.3,79e6f967986658a879c72927555c24b7d462ef6edcb76d819a6dc31647cdb8b4
model_dani_lag40_peer10_cohort_year_adaptive_wide_submission.csv,0.0657379269321502,10.28,e09bb18f71823a0f91b97d07435e398461922c4788510d000aef45fd215cda40
model_dani_lag40_peer10_extwide30_submission.csv,0.06577754535645171,10.27,912e352ae483e626a6fcdcd6dcdeb95e30c2fe01c3c545c8f3ccfbaa27a8566c
model_dani_lag40_peer10_extwide40_no2025_submission.csv,0.06579199789798856,10.26,1a36e653b4b9faba481e7859a18d99f5c7a03bdaf5a671db727cb5f29125136d
v3_cohort_h20_s20_new2025_00_submission.csv,0.0658073420217797,10.26,4fb12e48a3deea0565fa7bd8e8bdc357c342422ff5bfa5ba192a407a82e5c8d0
model_dani_lag40_peer10_cohort_history_focus_regular_submission.csv,0.06581462958696427,10.26,12857775bd96c743f79af7ea3703623c475ed78ceb16c755876805b01ccd4002
model_dani_lag40_peer10_cohort_holdout_opt_regular_submission.csv,0.06582005953271397,10.25,990456f5e6c4b0c396b80d9bb10c3209d8536e1e66b0095ca1adac66defb7ba6
model_dani_lag40_peer10_cohort_balanced_regular_submission.csv,0.06583381660585293,10.25,a9d0c14be8a2527f524b37d514952065a4ce772783356f95a778a737169b1774
model_dani_lag40_peer10_extregular40_submission.csv,0.06584377173737442,10.25,6b677f4ce47e0ac105c2115317a7911438932feddb3c8749b3e5ceb7a356882d
model_dani_lag40_peer10_cohort_aggressive_regular_submission.csv,0.06586486184345432,10.24,339aa76bcf26d22fb69809129d21ff0f5b7df2c317941e964b5c722307ecd0ae
model_dani_peer_joint_stronger_submission.csv,0.06590979850651629,10.23,baa6d158b193305da82a09874d4213658975836ea49d47f81f7835ce942f7035
model_dani_lag40_peer10_extwide30_no2025_submission.csv,0.06591271441366886,10.23,b911a874f882447fff032aa5d4eebdf853624b27ce80b5d144f5410815947f35
model_dani_lag40_peer10_extregular30_submission.csv,0.06592338574327647,10.22,adfc5d9efce23411b6e100ad1738ccf9624a15d29eb36d861aa3c4a59a5f4e17
model_dani_lag40_peer10_extregular40_no2025_submission.csv,0.06594312969836914,10.22,8eb903363592a8e312caa110b3f392d83a73a6a9b8aa0af644ddf6e5d36a461a
model_dani_peer_joint_strong_submission.csv,0.06595479538992993,10.21,911849d5c10f968e22274836ea44571a321a0efd96c277cffc6b5601a5be9056
model_dani_lag40_peer10_extwide20_submission.csv,0.06598847733085161,10.2,602fbcab620c72ffa82092743766faee2610b8a4f104f1fbc3f2f8206a34c9be
model_dani_lag40_peer10_extregular30_no2025_submission.csv,0.06603255055939974,10.19,36cb8dbb5e0022b547b39692f003d2b91f252112f91bc06e65232b641ff06be5
model_dani_lag40_peer10_extregular20_submission.csv,0.06609260970968002,10.17,e6c61ea5b3c038f80d0df15a4e04e43ec21eaa3f1cae17f24c0743266d9a77f8
model_dani_peer_joint_submission.csv,0.06610159095342899,10.17,426a5ee9e67e441edcbdd71173b59b995ccebc030865450da6f022d75002ab35
