mode,fold,method,n,rmse,mae,soft_max_abs_delta,loo_rows,weights
private_random,0,prod|loo_date_crop_0.50,2476,0.06992181603538264,0.04836141495664811,0.0,15099.0,
private_random,0,prod|loo_date_crop_0.75,2476,0.06938819541465457,0.04786881908149199,0.0,15099.0,
private_random,0,prod|loo_date_crop_1.00,2476,0.06908259530417087,0.04757572187574042,0.0,15099.0,
private_random,0,soft|loo_date_crop_0.15,2476,0.07095129220925862,0.04927983840574053,0.0,15099.0,
private_random,0,soft|loo_date_crop_0.30,2476,0.07047283944748269,0.048856269047298034,0.0,15099.0,
private_random,0,soft|loo_date_crop_0.50,2476,0.06992181603538264,0.04836141495664811,0.0,15099.0,
private_random,0,soft|loo_date_crop_0.75,2476,0.06938819541465457,0.04786881908149199,0.0,15099.0,
private_random,0,soft|loo_date_crop_1.00,2476,0.06908259530417087,0.04757572187574042,0.0,15099.0,
private_random,0,hard|loo_date_crop_0.15,2476,0.07203324270488144,0.04963544602398315,0.0,15099.0,
private_random,0,hard|loo_date_crop_0.30,2476,0.07157044671269101,0.04927221521185718,0.0,15099.0,
private_random,0,hard|loo_date_crop_0.50,2476,0.07103925327928441,0.04883151904008531,0.0,15099.0,
private_random,0,hard|loo_date_crop_0.75,2476,0.07052628905465587,0.04840010052444206,0.0,15099.0,
private_random,0,hard|loo_date_crop_1.00,2476,0.07023888850254406,0.04810723485739233,0.0,15099.0,
private_random,0,convex_diversity_best,2476,0.06918770138661454,0.04760267141731169,,,"{""prod"": 0.1, ""hard"": 0.18, ""uniform"": 0.072, ""lag"": 0.648}"
