lag_weight,method,alpha,cap,cohort,n,rmse,baseline_rmse,delta_rmse,wins,folds
0.325000000,source_year,0.100000000,0.010000000,exact,1114,0.061948823,0.061798059,0.000150764,2,6
0.325000000,source_year,0.100000000,0.020000000,exact,1114,0.061998838,0.061798059,0.000200779,2,6
0.325000000,source_year,0.100000000,0.040000000,exact,1114,0.062067944,0.061798059,0.000269885,1,6
0.325000000,source_year,1.000000000,0.010000000,exact,1114,0.061950773,0.061798059,0.000152714,2,6
0.325000000,source_year,1.000000000,0.020000000,exact,1114,0.061995409,0.061798059,0.000197350,2,6
0.325000000,source_year,1.000000000,0.040000000,exact,1114,0.062028567,0.061798059,0.000230508,2,6
0.325000000,source_year,10.000000000,0.010000000,exact,1114,0.062000222,0.061798059,0.000202163,2,6
0.325000000,source_year,10.000000000,0.020000000,exact,1114,0.062030402,0.061798059,0.000232343,2,6
0.325000000,source_year,10.000000000,0.040000000,exact,1114,0.062030402,0.061798059,0.000232343,2,6
0.325000000,source_year,100.000000000,0.010000000,exact,1114,0.061979450,0.061798059,0.000181391,2,6
0.325000000,source_year,100.000000000,0.020000000,exact,1114,0.061984504,0.061798059,0.000186445,2,6
0.325000000,source_year,100.000000000,0.040000000,exact,1114,0.061984504,0.061798059,0.000186445,2,6
0.325000000,source_year_doy,0.010000000,0.010000000,exact,1114,0.062237995,0.061798059,0.000439936,0,6
0.325000000,source_year_doy,0.010000000,0.020000000,exact,1114,0.062483525,0.061798059,0.000685466,0,6
0.325000000,source_year_doy,0.010000000,0.040000000,exact,1114,0.062556172,0.061798059,0.000758113,0,6
0.325000000,source_year_doy,0.100000000,0.010000000,exact,1114,0.062042338,0.061798059,0.000244279,1,6
0.325000000,source_year_doy,0.100000000,0.020000000,exact,1114,0.062152212,0.061798059,0.000354153,1,6
0.325000000,source_year_doy,0.100000000,0.040000000,exact,1114,0.062213243,0.061798059,0.000415184,2,6
0.325000000,source_year_doy,1.000000000,0.010000000,exact,1114,0.061998590,0.061798059,0.000200531,1,6
0.325000000,source_year_doy,1.000000000,0.020000000,exact,1114,0.062078837,0.061798059,0.000280778,2,6
0.325000000,source_year_doy,1.000000000,0.040000000,exact,1114,0.062098446,0.061798059,0.000300387,2,6
0.325000000,source_year_doy,10.000000000,0.010000000,exact,1114,0.062013965,0.061798059,0.000215906,2,6
0.325000000,source_year_doy,10.000000000,0.020000000,exact,1114,0.062058757,0.061798059,0.000260698,2,6
0.325000000,source_year_doy,10.000000000,0.040000000,exact,1114,0.062059465,0.061798059,0.000261406,2,6
0.325000000,source_year_doy,100.000000000,0.010000000,exact,1114,0.061974754,0.061798059,0.000176695,2,6
0.325000000,source_year_doy,100.000000000,0.020000000,exact,1114,0.061985653,0.061798059,0.000187593,2,6
0.325000000,source_year_doy,100.000000000,0.040000000,exact,1114,0.061985653,0.061798059,0.000187593,2,6
0.350000000,source,0.010000000,0.010000000,exact,1114,0.061870237,0.061807288,0.000062950,2,6
0.350000000,source,0.010000000,0.020000000,exact,1114,0.061921584,0.061807288,0.000114296,2,6
0.350000000,source,0.010000000,0.040000000,exact,1114,0.061998123,0.061807288,0.000190835,1,6
0.350000000,source,0.100000000,0.010000000,exact,1114,0.061880201,0.061807288,0.000072914,2,6
0.350000000,source,0.100000000,0.020000000,exact,1114,0.061937730,0.061807288,0.000130442,2,6
0.350000000,source,0.100000000,0.040000000,exact,1114,0.062003695,0.061807288,0.000196407,1,6
0.350000000,source,1.000000000,0.010000000,exact,1114,0.061939437,0.061807288,0.000132149,2,6
0.350000000,source,1.000000000,0.020000000,exact,1114,0.062012420,0.061807288,0.000205132,2,6
0.350000000,source,1.000000000,0.040000000,exact,1114,0.062046151,0.061807288,0.000238864,2,6
0.350000000,source,10.000000000,0.010000000,exact,1114,0.062000947,0.061807288,0.000193660,2,6
0.350000000,source,10.000000000,0.020000000,exact,1114,0.062053067,0.061807288,0.000245779,2,6
0.350000000,source,10.000000000,0.040000000,exact,1114,0.062053492,0.061807288,0.000246204,2,6
0.350000000,source,100.000000000,0.010000000,exact,1114,0.061969400,0.061807288,0.000162113,2,6
0.350000000,source,100.000000000,0.020000000,exact,1114,0.061975598,0.061807288,0.000168310,2,6
0.350000000,source,100.000000000,0.040000000,exact,1114,0.061975598,0.061807288,0.000168310,2,6
0.350000000,source_year,0.010000000,0.010000000,exact,1114,0.062111036,0.061807288,0.000303748,1,6
0.350000000,source_year,0.010000000,0.020000000,exact,1114,0.062195236,0.061807288,0.000387949,1,6
0.350000000,source_year,0.010000000,0.040000000,exact,1114,0.062268550,0.061807288,0.000461262,0,6
0.350000000,source_year,0.100000000,0.010000000,exact,1114,0.061952878,0.061807288,0.000145591,2,6
0.350000000,source_year,0.100000000,0.020000000,exact,1114,0.062006825,0.061807288,0.000199537,2,6
0.350000000,source_year,0.100000000,0.040000000,exact,1114,0.062077167,0.061807288,0.000269879,1,6
0.350000000,source_year,1.000000000,0.010000000,exact,1114,0.061950980,0.061807288,0.000143693,2,6
0.350000000,source_year,1.000000000,0.020000000,exact,1114,0.061999331,0.061807288,0.000192044,2,6
0.350000000,source_year,1.000000000,0.040000000,exact,1114,0.062033109,0.061807288,0.000225821,2,6
0.350000000,source_year,10.000000000,0.010000000,exact,1114,0.061999442,0.061807288,0.000192154,2,6
0.350000000,source_year,10.000000000,0.020000000,exact,1114,0.062031473,0.061807288,0.000224185,2,6
0.350000000,source_year,10.000000000,0.040000000,exact,1114,0.062031473,0.061807288,0.000224185,2,6
0.350000000,source_year,100.000000000,0.010000000,exact,1114,0.061980101,0.061807288,0.000172813,2,6
0.350000000,source_year,100.000000000,0.020000000,exact,1114,0.061985573,0.061807288,0.000178286,2,6
0.350000000,source_year,100.000000000,0.040000000,exact,1114,0.061985573,0.061807288,0.000178286,2,6
0.350000000,source_year_doy,0.010000000,0.010000000,exact,1114,0.062228402,0.061807288,0.000421115,0,6
0.350000000,source_year_doy,0.010000000,0.020000000,exact,1114,0.062482368,0.061807288,0.000675080,0,6
0.350000000,source_year_doy,0.010000000,0.040000000,exact,1114,0.062558382,0.061807288,0.000751094,0,6
0.350000000,source_year_doy,0.100000000,0.010000000,exact,1114,0.062035365,0.061807288,0.000228078,1,6
0.350000000,source_year_doy,0.100000000,0.020000000,exact,1114,0.062154285,0.061807288,0.000346997,1,6
0.350000000,source_year_doy,0.100000000,0.040000000,exact,1114,0.062217729,0.061807288,0.000410441,2,6
0.350000000,source_year_doy,1.000000000,0.010000000,exact,1114,0.061995983,0.061807288,0.000188695,1,6
0.350000000,source_year_doy,1.000000000,0.020000000,exact,1114,0.062081191,0.061807288,0.000273903,2,6
0.350000000,source_year_doy,1.000000000,0.040000000,exact,1114,0.062101463,0.061807288,0.000294176,2,6
0.350000000,source_year_doy,10.000000000,0.010000000,exact,1114,0.062012530,0.061807288,0.000205243,2,6
0.350000000,source_year_doy,10.000000000,0.020000000,exact,1114,0.062058948,0.061807288,0.000251661,2,6
0.350000000,source_year_doy,10.000000000,0.040000000,exact,1114,0.062059788,0.061807288,0.000252500,2,6
0.350000000,source_year_doy,100.000000000,0.010000000,exact,1114,0.061973737,0.061807288,0.000166449,2,6
0.350000000,source_year_doy,100.000000000,0.020000000,exact,1114,0.061985502,0.061807288,0.000178215,2,6
0.350000000,source_year_doy,100.000000000,0.040000000,exact,1114,0.061985502,0.061807288,0.000178215,2,6
0.400000000,source,0.010000000,0.010000000,exact,1114,0.061916351,0.061853690,0.000062661,2,6
0.400000000,source,0.010000000,0.020000000,exact,1114,0.061954291,0.061853690,0.000100602,2,6
0.400000000,source,0.010000000,0.040000000,exact,1114,0.062028808,0.061853690,0.000175119,1,6
0.400000000,source,0.100000000,0.010000000,exact,1114,0.061926299,0.061853690,0.000072609,2,6
0.400000000,source,0.100000000,0.020000000,exact,1114,0.061971068,0.061853690,0.000117379,2,6
0.400000000,source,0.100000000,0.040000000,exact,1114,0.062035580,0.061853690,0.000181890,1,6
0.400000000,source,1.000000000,0.010000000,exact,1114,0.061979174,0.061853690,0.000125484,2,6
0.400000000,source,1.000000000,0.020000000,exact,1114,0.062049145,0.061853690,0.000195456,2,6
0.400000000,source,1.000000000,0.040000000,exact,1114,0.062082989,0.061853690,0.000229300,2,6
0.400000000,source,10.000000000,0.010000000,exact,1114,0.062043857,0.061853690,0.000190167,2,6
0.400000000,source,10.000000000,0.020000000,exact,1114,0.062095156,0.061853690,0.000241466,2,6
0.400000000,source,10.000000000,0.040000000,exact,1114,0.062095385,0.061853690,0.000241695,2,6
0.400000000,source,100.000000000,0.010000000,exact,1114,0.062013779,0.061853690,0.000160090,2,6
0.400000000,source,100.000000000,0.020000000,exact,1114,0.062020023,0.061853690,0.000166334,2,6
0.400000000,source,100.000000000,0.040000000,exact,1114,0.062020023,0.061853690,0.000166334,2,6
0.400000000,source_year,0.010000000,0.010000000,exact,1114,0.062167069,0.061853690,0.000313380,1,6
0.400000000,source_year,0.010000000,0.020000000,exact,1114,0.062246412,0.061853690,0.000392722,0,6
0.400000000,source_year,0.010000000,0.040000000,exact,1114,0.062317759,0.061853690,0.000464069,0,6
0.400000000,source_year,0.100000000,0.010000000,exact,1114,0.061993047,0.061853690,0.000139357,2,6
0.400000000,source_year,0.100000000,0.020000000,exact,1114,0.062044813,0.061853690,0.000191124,2,6
0.400000000,source_year,0.100000000,0.040000000,exact,1114,0.062113479,0.061853690,0.000259790,1,6
0.400000000,source_year,1.000000000,0.010000000,exact,1114,0.061989239,0.061853690,0.000135550,2,6
0.400000000,source_year,1.000000000,0.020000000,exact,1114,0.062035647,0.061853690,0.000181958,2,6
0.400000000,source_year,1.000000000,0.040000000,exact,1114,0.062069094,0.061853690,0.000215405,2,6
0.400000000,source_year,10.000000000,0.010000000,exact,1114,0.062041058,0.061853690,0.000187368,2,6
0.400000000,source_year,10.000000000,0.020000000,exact,1114,0.062071857,0.061853690,0.000218167,2,6
0.400000000,source_year,10.000000000,0.040000000,exact,1114,0.062071857,0.061853690,0.000218167,2,6
0.400000000,source_year,100.000000000,0.010000000,exact,1114,0.062024024,0.061853690,0.000170334,2,6
0.400000000,source_year,100.000000000,0.020000000,exact,1114,0.062029462,0.061853690,0.000175772,2,6
0.400000000,source_year,100.000000000,0.040000000,exact,1114,0.062029462,0.061853690,0.000175772,2,6
0.400000000,source_year_doy,0.010000000,0.010000000,exact,1114,0.062277587,0.061853690,0.000423897,0,6
0.400000000,source_year_doy,0.010000000,0.020000000,exact,1114,0.062528784,0.061853690,0.000675094,0,6
0.400000000,source_year_doy,0.010000000,0.040000000,exact,1114,0.062617868,0.061853690,0.000764178,0,6
0.400000000,source_year_doy,0.100000000,0.010000000,exact,1114,0.062083810,0.061853690,0.000230120,1,6
0.400000000,source_year_doy,0.100000000,0.020000000,exact,1114,0.062203057,0.061853690,0.000349367,1,6
0.400000000,source_year_doy,0.100000000,0.040000000,exact,1114,0.062262961,0.061853690,0.000409272,2,6
0.400000000,source_year_doy,1.000000000,0.010000000,exact,1114,0.062043972,0.061853690,0.000190282,1,6
0.400000000,source_year_doy,1.000000000,0.020000000,exact,1114,0.062121952,0.061853690,0.000268262,2,6
0.400000000,source_year_doy,1.000000000,0.040000000,exact,1114,0.062141496,0.061853690,0.000287807,2,6
0.400000000,source_year_doy,10.000000000,0.010000000,exact,1114,0.062055659,0.061853690,0.000201970,2,6
0.400000000,source_year_doy,10.000000000,0.020000000,exact,1114,0.062100522,0.061853690,0.000246832,2,6
0.400000000,source_year_doy,10.000000000,0.040000000,exact,1114,0.062100795,0.061853690,0.000247105,2,6
0.400000000,source_year_doy,100.000000000,0.010000000,exact,1114,0.062018221,0.061853690,0.000164531,2,6
0.400000000,source_year_doy,100.000000000,0.020000000,exact,1114,0.062029607,0.061853690,0.000175918,2,6
0.400000000,source_year_doy,100.000000000,0.040000000,exact,1114,0.062029607,0.061853690,0.000175918,2,6
0.300000000,source,0.010000000,0.010000000,random,5664,0.071286074,0.071268305,0.000017769,1,3
0.300000000,source,0.010000000,0.010000000,random2025,2268,0.061556243,0.061513373,0.000042870,0,3
0.300000000,source,0.010000000,0.020000000,random,5664,0.071299877,0.071268305,0.000031572,1,3
0.300000000,source,0.010000000,0.020000000,random2025,2268,0.061556243,0.061513373,0.000042870,0,3
0.300000000,source,0.010000000,0.040000000,random,5664,0.071299877,0.071268305,0.000031572,1,3
0.300000000,source,0.010000000,0.040000000,random2025,2268,0.061556243,0.061513373,0.000042870,0,3
0.300000000,source,0.100000000,0.010000000,random,5664,0.071286028,0.071268305,0.000017723,1,3
0.300000000,source,0.100000000,0.010000000,random2025,2268,0.061556199,0.061513373,0.000042826,0,3
0.300000000,source,0.100000000,0.020000000,random,5664,0.071299580,0.071268305,0.000031275,1,3
0.300000000,source,0.100000000,0.020000000,random2025,2268,0.061556199,0.061513373,0.000042826,0,3
0.300000000,source,0.100000000,0.040000000,random,5664,0.071299580,0.071268305,0.000031275,1,3
0.300000000,source,0.100000000,0.040000000,random2025,2268,0.061556199,0.061513373,0.000042826,0,3
0.300000000,source,1.000000000,0.010000000,random,5664,0.071285368,0.071268305,0.000017063,1,3
0.300000000,source,1.000000000,0.010000000,random2025,2268,0.061555816,0.061513373,0.000042442,0,3
0.300000000,source,1.000000000,0.020000000,random,5664,0.071296911,0.071268305,0.000028605,1,3
0.300000000,source,1.000000000,0.020000000,random2025,2268,0.061555816,0.061513373,0.000042442,0,3
0.300000000,source,1.000000000,0.040000000,random,5664,0.071296911,0.071268305,0.000028605,1,3
0.300000000,source,1.000000000,0.040000000,random2025,2268,0.061555816,0.061513373,0.000042442,0,3
0.300000000,source,10.000000000,0.010000000,random,5664,0.071283966,0.071268305,0.000015661,1,3
0.300000000,source,10.000000000,0.010000000,random2025,2268,0.061554730,0.061513373,0.000041357,0,3
0.300000000,source,10.000000000,0.020000000,random,5664,0.071285548,0.071268305,0.000017243,1,3
0.300000000,source,10.000000000,0.020000000,random2025,2268,0.061554730,0.061513373,0.000041357,0,3
0.300000000,source,10.000000000,0.040000000,random,5664,0.071285548,0.071268305,0.000017243,1,3
0.300000000,source,10.000000000,0.040000000,random2025,2268,0.061554730,0.061513373,0.000041357,0,3
0.300000000,source,100.000000000,0.010000000,random,5664,0.071283727,0.071268305,0.000015422,2,3
0.300000000,source,100.000000000,0.010000000,random2025,2268,0.061557048,0.061513373,0.000043675,0,3
0.300000000,source,100.000000000,0.020000000,random,5664,0.071283727,0.071268305,0.000015422,2,3
0.300000000,source,100.000000000,0.020000000,random2025,2268,0.061557048,0.061513373,0.000043675,0,3
0.300000000,source,100.000000000,0.040000000,random,5664,0.071283727,0.071268305,0.000015422,2,3
0.300000000,source,100.000000000,0.040000000,random2025,2268,0.061557048,0.061513373,0.000043675,0,3
0.300000000,source_year,0.010000000,0.010000000,random,5664,0.071331542,0.071268305,0.000063237,1,3
0.300000000,source_year,0.010000000,0.010000000,random2025,2268,0.061604062,0.061513373,0.000090688,0,3
0.300000000,source_year,0.010000000,0.020000000,random,5664,0.071349462,0.071268305,0.000081157,1,3
0.300000000,source_year,0.010000000,0.020000000,random2025,2268,0.061604062,0.061513373,0.000090688,0,3
0.300000000,source_year,0.010000000,0.040000000,random,5664,0.071349998,0.071268305,0.000081693,1,3
0.300000000,source_year,0.010000000,0.040000000,random2025,2268,0.061604062,0.061513373,0.000090688,0,3
0.300000000,source_year,0.100000000,0.010000000,random,5664,0.071331500,0.071268305,0.000063194,1,3
0.300000000,source_year,0.100000000,0.010000000,random2025,2268,0.061603927,0.061513373,0.000090554,0,3
0.300000000,source_year,0.100000000,0.020000000,random,5664,0.071349123,0.071268305,0.000080818,1,3
0.300000000,source_year,0.100000000,0.020000000,random2025,2268,0.061603927,0.061513373,0.000090554,0,3
0.300000000,source_year,0.100000000,0.040000000,random,5664,0.071349599,0.071268305,0.000081294,1,3
0.300000000,source_year,0.100000000,0.040000000,random2025,2268,0.061603927,0.061513373,0.000090554,0,3
0.300000000,source_year,1.000000000,0.010000000,random,5664,0.071331127,0.071268305,0.000062822,1,3
0.300000000,source_year,1.000000000,0.010000000,random2025,2268,0.061602722,0.061513373,0.000089349,0,3
0.300000000,source_year,1.000000000,0.020000000,random,5664,0.071345974,0.071268305,0.000077669,1,3
0.300000000,source_year,1.000000000,0.020000000,random2025,2268,0.061602722,0.061513373,0.000089349,0,3
0.300000000,source_year,1.000000000,0.040000000,random,5664,0.071346027,0.071268305,0.000077722,1,3
0.300000000,source_year,1.000000000,0.040000000,random2025,2268,0.061602722,0.061513373,0.000089349,0,3
0.300000000,source_year,10.000000000,0.010000000,random,5664,0.071327047,0.071268305,0.000058741,0,3
0.300000000,source_year,10.000000000,0.010000000,random2025,2268,0.061597340,0.061513373,0.000083966,0,3
0.300000000,source_year,10.000000000,0.020000000,random,5664,0.071330313,0.071268305,0.000062008,0,3
0.300000000,source_year,10.000000000,0.020000000,random2025,2268,0.061597340,0.061513373,0.000083966,0,3
0.300000000,source_year,10.000000000,0.040000000,random,5664,0.071330313,0.071268305,0.000062008,0,3
0.300000000,source_year,10.000000000,0.040000000,random2025,2268,0.061597340,0.061513373,0.000083966,0,3
0.300000000,source_year,100.000000000,0.010000000,random,5664,0.071315204,0.071268305,0.000046899,1,3
0.300000000,source_year,100.000000000,0.010000000,random2025,2268,0.061589206,0.061513373,0.000075833,0,3
0.300000000,source_year,100.000000000,0.020000000,random,5664,0.071315204,0.071268305,0.000046899,1,3
0.300000000,source_year,100.000000000,0.020000000,random2025,2268,0.061589206,0.061513373,0.000075833,0,3
0.300000000,source_year,100.000000000,0.040000000,random,5664,0.071315204,0.071268305,0.000046899,1,3
0.300000000,source_year,100.000000000,0.040000000,random2025,2268,0.061589206,0.061513373,0.000075833,0,3
0.300000000,source_year_doy,0.010000000,0.010000000,random,5664,0.071348056,0.071268305,0.000079750,0,3
0.300000000,source_year_doy,0.010000000,0.010000000,random2025,2268,0.061622396,0.061513373,0.000109023,1,3
0.300000000,source_year_doy,0.010000000,0.020000000,random,5664,0.071371101,0.071268305,0.000102796,0,3
