year,truth,doy,p_s2,p_ls,p_md,s2,landsat,modis
2015,0.4562754176610979,177,0.007633587786259542,0.16030534351145037,0.8320610687022901,0.48485938960266306,0.5146586287542664,0.5360456330473958
2015,0.3779444868735085,225,0.007407407407407408,0.2740740740740741,0.7185185185185186,0.20895629417606434,0.24749843761379445,0.30912142258108194
2015,0.6350898741363588,216,0.014084507042253521,0.971830985915493,0.014084507042253521,0.5069134839783964,0.5344940750392422,0.5326692557961997
2015,0.4933280904586456,113,0.008130081300813009,0.3008130081300813,0.6910569105691057,0.2959109370381919,0.32146383896372843,0.4597679887176271
2015,0.7803446576038624,145,0.008130081300813009,0.2682926829268293,0.7235772357723578,0.6658754930416632,0.7033769146559943,0.7308830562916531
2015,0.5558959598526235,193,0.008130081300813009,0.2682926829268293,0.7235772357723578,0.5463730887919914,0.6205901943640895,0.6276467768699526
2015,0.3619862660398933,257,0.007633587786259542,0.007633587786259542,0.9847328244274809,0.3196540967826668,0.3526607631795187,0.406060999518146
2015,0.3184156669650852,177,0.007633587786259542,0.16030534351145037,0.8320610687022901,0.3915659879129621,0.4212838900952221,0.4476030162003334
2015,0.2629123545210385,209,0.006622516556291391,0.2980132450331126,0.695364238410596,0.1703762421388289,0.21534777112518508,0.2887243975300031
2015,0.2615439122649956,225,0.007407407407407408,0.2740740740740741,0.7185185185185186,0.17455394850028397,0.21598637045664915,0.2839130699632165
2015,0.2529811983471074,225,0.007407407407407408,0.2740740740740741,0.7185185185185186,0.15000723047796896,0.19211212993599427,0.26346156965038375
2015,0.2583764462809917,273,0.008403361344537815,0.24369747899159663,0.7478991596638656,0.1717679141668302,0.1958942251608069,0.27567835205557617
2015,0.3226004132231404,289,0.007194244604316547,0.2949640287769784,0.697841726618705,0.18290629536971942,0.20740747130733242,0.28652560052823167
2015,0.5257336323763958,97,0.007407407407407408,0.007407407407407408,0.9851851851851852,0.4668130021668198,0.488489731122199,0.5916420590385639
2015,0.7028311004784689,113,0.008130081300813009,0.3008130081300813,0.6910569105691057,0.5841393174705383,0.6023669812391875,0.685974759562026
2015,0.8619288050392855,144,0.013333333333333334,0.9733333333333334,0.013333333333333334,0.6190232731611965,0.6627066500980446,0.7008696785710024
2015,0.3490917264752792,193,0.008130081300813009,0.2682926829268293,0.7235772357723578,0.25536068942740014,0.3027432319713716,0.3588799217991689
2015,0.2668621810207337,273,0.008403361344537815,0.24369747899159663,0.7478991596638656,0.17928056666776554,0.20572574462431162,0.28233375940006883
2015,0.2608348388800844,289,0.007194244604316547,0.2949640287769784,0.697841726618705,0.17588824899989025,0.19959161935862388,0.2806759282809318
2015,0.3195006677426553,104,0.014084507042253521,0.971830985915493,0.014084507042253521,0.26985356272733535,0.3002578421769495,0.4353673141823436
2015,0.6200456805580399,145,0.008130081300813009,0.2682926829268293,0.7235772357723578,0.5207681046160931,0.5619520275707073,0.6397096468056997
2015,0.620972845585649,113,0.008130081300813009,0.3008130081300813,0.6910569105691057,0.5005018912939903,0.523459715686552,0.6179889266890702
2015,0.4080606753429477,193,0.008130081300813009,0.2682926829268293,0.7235772357723578,0.3561187553231598,0.403621973997588,0.4393111342779993
2015,0.6777489822204777,199,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.706277379286926,0.7786610093240692,0.7521469452354044
2015,0.3930608250937608,145,0.008130081300813009,0.2682926829268293,0.7235772357723578,0.25408930422820714,0.30676169459412433,0.48101785821226656
2015,0.2109139680345961,239,0.014925373134328358,0.9701492537313433,0.014925373134328358,0.14315621490139743,0.1843596751321911,0.2553773261495381
2015,0.2471097511080805,273,0.008403361344537815,0.24369747899159663,0.7478991596638656,0.1545042238796403,0.17891688065608619,0.26517207806831905
2015,0.2181491531561097,264,0.01818181818181818,0.9636363636363636,0.01818181818181818,0.1373235673420562,0.1730465286602987,0.23329600919834886
