tag,candidate,n,rmse,mae
exact2019,state_z_w7_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,state_z_w7_w0.025,249,0.05743119077882168,0.03966772389101325
exact2019,state_z_w7_w0.050,249,0.057759303451659465,0.0399388077992333
exact2019,state_z_w7_w0.075,249,0.05816407449803522,0.040357898173019734
exact2019,state_z_w7_w0.100,249,0.05864391660905456,0.04085181221639159
exact2019,state_z_w7_w0.125,249,0.05919700426821565,0.04141677987075529
exact2019,state_z_w7_w0.150,249,0.05982130589896195,0.042071327637267904
exact2019,state_z_w7_w0.175,249,0.06051461749550982,0.04278552758607347
exact2019,state_z_w7_w0.200,249,0.06127459659469972,0.0435567796664319
exact2019,state_z_w7_w0.225,249,0.062098795568860714,0.04439676281840285
exact2019,state_z_w7_w0.250,249,0.06298469338186671,0.04529741363359055
exact2019,state_z_w7_w0.275,249,0.06392972513437718,0.046242859149574246
exact2019,state_z_w7_w0.300,249,0.0649313089129652,0.0471898175443225
exact2019,state_z_w7_w0.325,249,0.06598686963775029,0.048152833448621764
exact2019,state_z_w7_w0.350,249,0.06709385976430803,0.049167114402096604
exact2019,state_z_w7_w0.375,249,0.0682497768318729,0.05022696893716782
exact2019,state_z_w7_w0.400,249,0.06945217795845512,0.051325162999511724
exact2019,state_z_w7_w0.425,249,0.07069869146448207,0.05247104632111508
exact2019,state_z_w7_w0.450,249,0.07198702586196891,0.05362162008147619
exact2019,state_z_w7_w0.475,249,0.07331497647928545,0.05477712283777566
exact2019,state_z_w7_w0.500,249,0.07468043000618844,0.05593681887960177
exact2019,delta_z_w7_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,delta_z_w7_w0.025,249,0.05743119077882168,0.03966772389101325
exact2019,delta_z_w7_w0.050,249,0.057759303451659465,0.0399388077992333
exact2019,delta_z_w7_w0.075,249,0.05816407449803522,0.040357898173019734
exact2019,delta_z_w7_w0.100,249,0.05864391660905456,0.04085181221639159
exact2019,delta_z_w7_w0.125,249,0.05919700426821565,0.04141677987075529
exact2019,delta_z_w7_w0.150,249,0.05982130589896195,0.042071327637267904
exact2019,delta_z_w7_w0.175,249,0.06051461749550982,0.04278552758607347
exact2019,delta_z_w7_w0.200,249,0.06127459659469972,0.0435567796664319
exact2019,delta_z_w7_w0.225,249,0.062098795568860714,0.04439676281840285
exact2019,delta_z_w7_w0.250,249,0.0629846933818667,0.04529741363359055
exact2019,delta_z_w7_w0.275,249,0.06392972513437718,0.046242859149574246
exact2019,delta_z_w7_w0.300,249,0.0649313089129652,0.0471898175443225
exact2019,delta_z_w7_w0.325,249,0.06598686963775029,0.04815283344862176
exact2019,delta_z_w7_w0.350,249,0.06709385976430803,0.049167114402096604
exact2019,delta_z_w7_w0.375,249,0.0682497768318729,0.05022696893716782
exact2019,delta_z_w7_w0.400,249,0.06945217795845512,0.051325162999511724
exact2019,delta_z_w7_w0.425,249,0.07069869146448207,0.05247104632111507
exact2019,delta_z_w7_w0.450,249,0.07198702586196891,0.05362162008147619
exact2019,delta_z_w7_w0.475,249,0.07331497647928543,0.05477712283777566
exact2019,delta_z_w7_w0.500,249,0.07468043000618846,0.05593681887960177
exact2019,state_z_w14_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,state_z_w14_w0.025,249,0.0574205958495634,0.039666404953848385
exact2019,state_z_w14_w0.050,249,0.05774394965737026,0.03998214234251749
exact2019,state_z_w14_w0.075,249,0.05814971936572548,0.04044848007122327
exact2019,state_z_w14_w0.100,249,0.05863619401494313,0.041007629176478336
exact2019,state_z_w14_w0.125,249,0.059201384111937636,0.04167418032162512
exact2019,state_z_w14_w0.150,249,0.059843059404963705,0.042367928413851424
exact2019,state_z_w14_w0.175,249,0.06055878865275092,0.04310657127061717
exact2019,state_z_w14_w0.200,249,0.06134597992694219,0.043895019895811335
exact2019,state_z_w14_w0.225,249,0.06220192014134887,0.044708874295828684
exact2019,state_z_w14_w0.250,249,0.06312381271208509,0.04555305384499754
exact2019,state_z_w14_w0.275,249,0.06410881249341428,0.04647525465410295
exact2019,state_z_w14_w0.300,249,0.06515405738161525,0.04742238015563058
exact2019,state_z_w14_w0.325,249,0.06625669621422109,0.04841002194761401
exact2019,state_z_w14_w0.350,249,0.06741391280089037,0.04946613730622804
exact2019,state_z_w14_w0.375,249,0.06862294609672646,0.050544102331298676
exact2019,state_z_w14_w0.400,249,0.06988110666573696,0.051637645135587454
exact2019,state_z_w14_w0.425,249,0.07118578968184376,0.052749932233002395
exact2019,state_z_w14_w0.450,249,0.07253448478064059,0.05391690807796416
exact2019,state_z_w14_w0.475,249,0.07392478311178179,0.05510329917490385
exact2019,state_z_w14_w0.500,249,0.0753543819550043,0.05632218945003973
exact2019,delta_z_w14_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,delta_z_w14_w0.025,249,0.0574205958495634,0.039666404953848385
exact2019,delta_z_w14_w0.050,249,0.05774394965737026,0.03998214234251749
exact2019,delta_z_w14_w0.075,249,0.05814971936572548,0.04044848007122327
exact2019,delta_z_w14_w0.100,249,0.05863619401494313,0.041007629176478336
exact2019,delta_z_w14_w0.125,249,0.059201384111937636,0.04167418032162512
exact2019,delta_z_w14_w0.150,249,0.059843059404963705,0.042367928413851424
exact2019,delta_z_w14_w0.175,249,0.06055878865275091,0.04310657127061717
exact2019,delta_z_w14_w0.200,249,0.06134597992694219,0.043895019895811335
exact2019,delta_z_w14_w0.225,249,0.06220192014134887,0.044708874295828684
exact2019,delta_z_w14_w0.250,249,0.06312381271208509,0.04555305384499754
exact2019,delta_z_w14_w0.275,249,0.06410881249341428,0.046475254654102946
exact2019,delta_z_w14_w0.300,249,0.06515405738161525,0.04742238015563058
exact2019,delta_z_w14_w0.325,249,0.06625669621422109,0.04841002194761401
exact2019,delta_z_w14_w0.350,249,0.06741391280089037,0.04946613730622804
exact2019,delta_z_w14_w0.375,249,0.06862294609672646,0.050544102331298676
exact2019,delta_z_w14_w0.400,249,0.06988110666573696,0.05163764513558745
exact2019,delta_z_w14_w0.425,249,0.07118578968184376,0.05274993223300239
exact2019,delta_z_w14_w0.450,249,0.07253448478064059,0.05391690807796416
exact2019,delta_z_w14_w0.475,249,0.07392478311178179,0.05510329917490385
exact2019,delta_z_w14_w0.500,249,0.0753543819550043,0.05632218945003973
exact2019,state_z_w30_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,state_z_w30_w0.025,249,0.0575202132759802,0.03974121481164856
exact2019,state_z_w30_w0.050,249,0.05797912567248115,0.04025573757103359
exact2019,state_z_w30_w0.075,249,0.058554977710387125,0.040947345670729725
exact2019,state_z_w30_w0.100,249,0.05924435954645775,0.041807891224576156
exact2019,state_z_w30_w0.125,249,0.06004336086499024,0.042748948026630075
exact2019,state_z_w30_w0.150,249,0.060947670606384785,0.04370774504379989
exact2019,state_z_w30_w0.175,249,0.06195267744991149,0.04470217731278185
exact2019,state_z_w30_w0.200,249,0.06305356656501374,0.04572436704723863
exact2019,state_z_w30_w0.225,249,0.06424540911545293,0.04686266863717083
