lag_weight,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
0.375000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.175000000,0.061823463,0.062592735,-0.000769272,6,6,0.899461400,0.068821539,0.069829641,-0.001008102,3,3,0.685577408,0.061468212,0.062241735,-0.000773523,3,3,0.933862434,-0.000769272,-0.000850299,True
0.400000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.125000000,0.061864994,0.062643363,-0.000778369,6,6,0.899461400,0.068945373,0.069937773,-0.000992400,3,3,0.685577408,0.061494141,0.062263258,-0.000769117,3,3,0.933862434,-0.000769117,-0.000846629,True
0.375000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.175000000,0.061823974,0.062592735,-0.000768761,6,6,0.899461400,0.068821303,0.069829641,-0.001008337,3,3,0.685577408,0.061470026,0.062241735,-0.000771709,3,3,0.933862434,-0.000768761,-0.000849602,True
0.375000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.150000000,0.061824577,0.062592735,-0.000768158,6,6,0.899461400,0.068833096,0.069829641,-0.000996545,3,3,0.685577408,0.061472221,0.062241735,-0.000769515,3,3,0.933862434,-0.000768158,-0.000844739,True
0.375000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.200000000,0.061824917,0.062592735,-0.000767818,6,6,0.899461400,0.068811905,0.069829641,-0.001017736,3,3,0.685577408,0.061466445,0.062241735,-0.000775291,3,3,0.933862434,-0.000767818,-0.000853615,True
0.400000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.100000000,0.061865422,0.062643363,-0.000777941,6,6,0.899461400,0.068957151,0.069937773,-0.000980622,3,3,0.685577408,0.061495650,0.062263258,-0.000767608,3,3,0.933862434,-0.000767608,-0.000842057,True
0.400000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.150000000,0.061868244,0.062643363,-0.000775119,6,6,0.899461400,0.068939462,0.069937773,-0.000998311,3,3,0.685577408,0.061495666,0.062263258,-0.000767592,3,3,0.933862434,-0.000767592,-0.000847007,True
0.375000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.200000000,0.061825185,0.062592735,-0.000767550,6,6,0.899461400,0.068811690,0.069829641,-0.001017951,3,3,0.685577408,0.061468183,0.062241735,-0.000773552,3,3,0.933862434,-0.000767550,-0.000853018,True
0.375000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.150000000,0.061825330,0.062592735,-0.000767404,6,6,0.899461400,0.068832840,0.069829641,-0.000996800,3,3,0.685577408,0.061474110,0.062241735,-0.000767625,3,3,0.933862434,-0.000767404,-0.000843943,True
0.400000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.100000000,0.061867019,0.062643363,-0.000776344,6,6,0.899461400,0.068961055,0.069937773,-0.000976718,3,3,0.685577408,0.061496597,0.062263258,-0.000766661,3,3,0.933862434,-0.000766661,-0.000839908,True
0.375000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.175000000,0.061826298,0.062592735,-0.000766436,6,6,0.899461400,0.068825690,0.069829641,-0.001003951,3,3,0.685577408,0.061469607,0.062241735,-0.000772129,3,3,0.933862434,-0.000766436,-0.000847505,True
0.375000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.150000000,0.061827169,0.062592735,-0.000765565,6,6,0.899461400,0.068837267,0.069829641,-0.000992374,3,3,0.685577408,0.061473539,0.062241735,-0.000768196,3,3,0.933862434,-0.000765565,-0.000842045,True
0.400000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.100000000,0.061867169,0.062643363,-0.000776193,6,6,0.899461400,0.068957155,0.069937773,-0.000980618,3,3,0.685577408,0.061497910,0.062263258,-0.000765348,3,3,0.933862434,-0.000765348,-0.000840720,True
0.375000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.175000000,0.061827831,0.062592735,-0.000764904,6,6,0.899461400,0.068824984,0.069829641,-0.001004657,3,3,0.685577408,0.061475048,0.062241735,-0.000766687,3,3,0.933862434,-0.000764904,-0.000845416,True
0.375000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.200000000,0.061827995,0.062592735,-0.000764740,6,6,0.899461400,0.068816036,0.069829641,-0.001013605,3,3,0.685577408,0.061467915,0.062241735,-0.000773821,3,3,0.933862434,-0.000764740,-0.000850722,True
0.375000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.200000000,0.061828799,0.062592735,-0.000763935,6,6,0.899461400,0.068815391,0.069829641,-0.001014249,3,3,0.685577408,0.061473129,0.062241735,-0.000768606,3,3,0.933862434,-0.000763935,-0.000848930,True
0.400000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.200000000,0.061876864,0.062643363,-0.000766499,6,6,0.899461400,0.068929529,0.069937773,-0.001008244,3,3,0.685577408,0.061499819,0.062263258,-0.000763439,3,3,0.933862434,-0.000763439,-0.000846061,True
0.375000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.125000000,0.061828258,0.062592735,-0.000764476,6,6,0.899461400,0.068846575,0.069829641,-0.000983065,3,3,0.685577408,0.061478469,0.062241735,-0.000763266,3,3,0.933862434,-0.000763266,-0.000836936,True
