method,weight,rmse,n
base30+feature_default,0.150000000,0.061988284,1114
base20+feature_wide,0.750000000,0.062000701,1114
base20+feature_regular,0.150000000,0.062004687,1114
base30+feature_default,0.650000000,0.062032153,1114
hgb+feature_wide,0.300000000,0.062049760,1114
hgb+feature_regular,0.750000000,0.062053285,1114
hgb+feature_default,0.450000000,0.062053673,1114
hgb+feature_default,0.500000000,0.062053926,1114
local40+feature_default,0.750000000,0.062054956,1114
base20+feature_default,0.150000000,0.062069214,1114
base20+feature_default,0.650000000,0.062074507,1114
hgb+feature_regular,0.300000000,0.062082316,1114
base30+feature_wide,0.100000000,0.062082394,1114
hgb+feature_default,0.400000000,0.062083832,1114
hgb+feature_default,0.550000000,0.062084591,1114
hgb+feature_wide,0.750000000,0.062091231,1114
base30+feature_regular,0.100000000,0.062098842,1114
local40+feature_regular,0.850000000,0.062106724,1114
base30+feature_regular,0.800000000,0.062107027,1114
base20+feature_regular,0.800000000,0.062128356,1114
base30+feature_default,0.100000000,0.062137939,1114
hgb+feature_default,0.350000000,0.062144358,1114
hgb+feature_default,0.600000000,0.062145622,1114
base20+feature_wide,0.100000000,0.062162670,1114
base30+feature_wide,0.800000000,0.062164201,1114
base20+feature_regular,0.100000000,0.062179586,1114
local40+feature_wide,0.850000000,0.062182220,1114
base20+feature_wide,0.800000000,0.062184640,1114
base30+feature_default,0.700000000,0.062190452,1114
hgb+feature_regular,0.800000000,0.062196403,1114
hgb+feature_wide,0.250000000,0.062200327,1114
base20+feature_default,0.100000000,0.062221101,1114
base20+feature_default,0.700000000,0.062227437,1114
hgb+feature_regular,0.250000000,0.062231802,1114
hgb+feature_default,0.300000000,0.062235163,1114
hgb+feature_default,0.650000000,0.062236931,1114
hgb+feature_wide,0.800000000,0.062250889,1114
base30+feature_wide,0.050000000,0.062287369,1114
base30+feature_regular,0.050000000,0.062296407,1114
base30+feature_regular,0.850000000,0.062305732,1114
base30+feature_default,0.050000000,0.062315135,1114
base20+feature_regular,0.850000000,0.062321859,1114
local40+feature_default,0.800000000,0.062324971,1114
hgb+feature_default,0.250000000,0.062356115,1114
hgb+feature_default,0.700000000,0.062358383,1114
hgb+feature_regular,0.850000000,0.062368353,1114
base20+feature_wide,0.050000000,0.062370939,1114
base30+feature_default,0.750000000,0.062376221,1114
base20+feature_regular,0.050000000,0.062380222,1114
base30+feature_wide,0.850000000,0.062380547,1114
hgb+feature_wide,0.200000000,0.062381446,1114
local40+feature_regular,0.900000000,0.062394089,1114
base20+feature_wide,0.850000000,0.062395964,1114
base20+feature_default,0.050000000,0.062400224,1114
base20+feature_default,0.750000000,0.062407595,1114
hgb+feature_regular,0.200000000,0.062410071,1114
hgb+feature_wide,0.850000000,0.062441023,1114
local40+feature_wide,0.900000000,0.062488577,1114
hgb+feature_default,0.200000000,0.062507038,1114
hgb+feature_default,0.750000000,0.062509804,1114
base30+feature_wide,0.000000000,0.062519637,1114
base30+feature_default,0.000000000,0.062519637,1114
base30+feature_regular,0.000000000,0.062519637,1114
base30,,0.062519637,1114
base30+feature_regular,0.900000000,0.062530090,1114
base20+feature_regular,0.900000000,0.062540923,1114
hgb+feature_regular,0.900000000,0.062568897,1114
base30+feature_default,0.800000000,0.062589217,1114
hgb+feature_wide,0.150000000,0.062592851,1114
base20,,0.062606347,1114
base20+feature_wide,0.000000000,0.062606347,1114
base20+feature_regular,0.000000000,0.062606347,1114
base20+feature_default,0.000000000,0.062606347,1114
base20+feature_default,0.800000000,0.062614744,1114
hgb+feature_regular,0.150000000,0.062616877,1114
base30+feature_wide,0.900000000,0.062624063,1114
local40+feature_default,0.850000000,0.062625688,1114
base20+feature_wide,0.900000000,0.062634394,1114
hgb+feature_wide,0.900000000,0.062661356,1114
hgb+feature_default,0.150000000,0.062687717,1114
hgb+feature_default,0.800000000,0.062690976,1114
local40+feature_regular,0.950000000,0.062710205,1114
base30+feature_regular,0.950000000,0.062779826,1114
base20+feature_regular,0.950000000,0.062785281,1114
hgb+feature_regular,0.950000000,0.062797762,1114
local40+feature_wide,0.950000000,0.062825102,1114
