path,rmse_vs_leader,corr_vs_leader,maxabs
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\v3_cohort_h30_s30_new2025_00_submission.csv,0.007720302940658995,0.9992900880286563,0.06383951999999993
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_no2025_submission.csv,0.008043821998467838,0.9992274520977796,0.08816163999999999
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral40_historyonly_submission.csv,0.008310895852762597,0.9991790661570936,0.06611365000000002
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular40_no2025_submission.csv,0.00844983733311958,0.9991459698627657,0.08816163999999999
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide20_submission.csv,0.00853096505754814,0.9991360419534222,0.06145712000000003
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_extwide40_v3_30_spectral40_history_lgbm10_submission.csv,0.00883282821785536,0.9990786031708454,0.07698031000000005
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide30_no2025_submission.csv,0.00884681094723495,0.9990676705387193,0.08816163999999999
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular20_submission.csv,0.008929973326196463,0.9990509750692177,0.05926870000000001
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral40_routed_submission.csv,0.008993546665173716,0.9990389012728196,0.06611365000000002
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular30_no2025_submission.csv,0.009174331315834339,0.9989957718834499,0.08816163999999999
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\v3_cohort_h20_s20_new2025_00_submission.csv,0.00933166865599446,0.9989631366358597,0.06383951999999993
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide20_no2025_submission.csv,0.010060272432563439,0.998794596225284,0.08816163999999999
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extregular20_no2025_submission.csv,0.010282531923389007,0.998739446282279,0.08816163999999999
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral50_historyonly_submission.csv,0.010338647892813994,0.9987312508338523,0.08176699999999998
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_source_expert_route_v2_submission.csv,0.010633845766180912,0.9986605332217983,0.081144155
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_spectral50_sourcecorr25_submission.csv,0.01069833408863982,0.9986628767765191,0.07981700000000003
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_peer_joint_submission.csv,0.011431409965628197,0.9984265358669742,0.10745790000000005
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_peer_joint_strong_submission.csv,0.011707454556428212,0.998348631157963,0.10844486999999997
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag30_peer10_a300_b150_submission.csv,0.011968984998327025,0.9982801904364478,0.09830325999999995
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_spectral50_sourcecorr50_submission.csv,0.011974312672861372,0.9983517278246002,0.07786700000000002
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_peer_joint_stronger_submission.csv,0.012007903226477566,0.9982643517088355,0.10888890999999995
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_joint_submission.csv,0.012134159879608976,0.9982502317138252,0.10686732000000004
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_peer_lag30_joint_submission.csv,0.012149185981126607,0.9982280900183755,0.09857471000000001
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_source_expert_route_v2_piecewise_alpha_submission.csv,0.012226269277780658,0.9982306977046461,0.10143019399999997
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_source_expert_route_v2_distance_adaptive_f25_submission.csv,0.012226269278398346,0.9982306977045265,0.10143019399999997
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_joint_strong_submission.csv,0.012284219087943643,0.9982059340943389,0.10785428999999996
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag32_peer10_a325_b150_submission.csv,0.0122885863724027,0.9981895100853229,0.09592830000000002
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_source_expert_route_v2_distance_adaptive_submission.csv,0.01233036249324985,0.9982012856945922,0.10143019399999997
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_source_expert_route_v2_cohort_year_dist_submission.csv,0.012346469029808519,0.9981956077944538,0.10143019399999997
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag35_peer10_a325_b150_submission.csv,0.012485868637487336,0.998133505880672,0.09328187999999998
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_joint_stronger_submission.csv,0.01250087086199887,0.9981444198097925,0.10829833000000005
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_tuned_submission.csv,0.012627979942838645,0.9981129733696895,0.10533743999999995
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_extended_hgb_v3_wide.csv,0.013013116220066524,0.9980327289410834,0.07785790999999997
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_extended_hgb_regular.csv,0.01310617458485926,0.997990564531846,0.08827157000000002
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_extended_hgb_wide.csv,0.013224921280819861,0.997957720637288,0.08499060000000003
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_a350_b200_submission.csv,0.013237643199026523,0.9979064466156626,0.09454688
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_spatial_dynamic_lag40_submission.csv,0.013883583087969735,0.9977111873688362,0.09454688
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_spectral50_sourcecorr75_submission.csv,0.013916791131488398,0.9978014847047856,0.07591700000000001
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_tuned_hgb.csv,0.015432694976186361,0.9972573688051725,0.12886113607254673
C:\Users\kmaxc\Documents\Codex\2026-09-04\ml\work\_downloads_inspect\agro\agropulse_max_score\outputs\submission.csv,0.015763545735035172,0.9971455217821075,0.13052715511563168
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lgbm_extended.csv,0.01968770064676456,0.9957872376514856,0.13519584999999995
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_tuned_lag.csv,0.030599247145302478,0.9886981541233424,0.28906736
C:\Users\kmaxc\Documents\Codex\2026-09-04\ml\outputs\submission_baseline.csv,0.03293310080171478,0.9873105532620232,0.40566824999999995
C:\Users\kmaxc\Documents\Codex\2026-09-04\ml\work\agropuls_baseline\submission_no_train.csv,0.04081748414220898,0.9812359541531479,0.39133905
C:\Users\kmaxc\Documents\Codex\2026-09-04\ml\work\agropuls_baseline\submission.csv,0.04169389284175649,0.9806488419263629,0.39103480999999995
C:\Users\kmaxc\Documents\Codex\2026-09-04\ml\work\agropuls_baseline\submission_source_calibrated.csv,0.04169389284175649,0.9806488419263629,0.39103480999999995
C:\Users\kmaxc\Documents\Codex\2026-09-04\ml\work\agropuls_baseline\submission_source_blend.csv,0.07637018876913411,0.9340923679937694,1.3306658
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_spatial_dynamic_lag30_diagnostic.csv,,,
