held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
0,r16_all_modis_resmed,0.0993151744,2644,0.2144478064,0.0704106771,0.0703857997,0.0000248774
0,r16_crop_resmed,0.2026518641,2644,0.9958396369,0.0699153433,0.0703857997,-0.0004704565
0,r16_crop_resmean,0.2101611381,2644,0.9958396369,0.0696508719,0.0703857997,-0.0007349278
0,r16_crop_rawmed,0.1997430991,2644,0.9958396369,0.0699118569,0.0703857997,-0.0004739428
0,r16_crop_s2_resmed,0.1985402551,2644,0.4969742814,0.0700310404,0.0703857997,-0.0003547594
0,r16_crop_landsat_resmed,0.1859334464,2644,0.4436459909,0.0701660538,0.0703857997,-0.0002197460
0,r16_crop_modis_resmed,0.1251757544,2644,0.2004538578,0.0704581810,0.0703857997,0.0000723813
0,r32_all_resmed,0.1870647039,2644,1.0000000000,0.0701472783,0.0703857997,-0.0002385214
0,r32_all_resmean,0.2147058168,2644,1.0000000000,0.0698096767,0.0703857997,-0.0005761231
0,r32_all_rawmed,0.1806603860,2644,1.0000000000,0.0701427804,0.0703857997,-0.0002430193
0,r32_all_s2_resmed,0.1417441016,2644,0.5907715582,0.0702540754,0.0703857997,-0.0001317244
0,r32_all_landsat_resmed,0.1002020291,2644,0.6104387292,0.0703206751,0.0703857997,-0.0000651246
0,r32_all_modis_resmed,0.0745873474,2644,0.2163388805,0.0704057356,0.0703857997,0.0000199359
0,r32_crop_resmed,0.2036524233,2644,0.9977307110,0.0700235484,0.0703857997,-0.0003622514
0,r32_crop_resmean,0.2127703968,2644,0.9977307110,0.0696949447,0.0703857997,-0.0006908550
0,r32_crop_rawmed,0.2003415031,2644,0.9977307110,0.0700190929,0.0703857997,-0.0003667068
0,r32_crop_s2_resmed,0.2007341457,2644,0.5204236006,0.0701809183,0.0703857997,-0.0002048814
0,r32_crop_landsat_resmed,0.1917615794,2644,0.4561270802,0.0703124657,0.0703857997,-0.0000733341
0,r32_crop_modis_resmed,0.1095159498,2644,0.2061270802,0.0704286064,0.0703857997,0.0000428067
0,r64_all_resmed,0.1951007189,2644,1.0000000000,0.0702680115,0.0703857997,-0.0001177882
0,r64_all_resmean,0.2223788033,2644,1.0000000000,0.0699242695,0.0703857997,-0.0004615302
0,r64_all_rawmed,0.1951007189,2644,1.0000000000,0.0702680115,0.0703857997,-0.0001177882
0,r64_all_s2_resmed,0.1115440943,2644,0.6244326778,0.0702788890,0.0703857997,-0.0001069107
0,r64_all_landsat_resmed,0.0929136223,2644,0.6493948563,0.0703423054,0.0703857997,-0.0000434943
0,r64_all_modis_resmed,0.0478654661,2644,0.2167170953,0.0704039266,0.0703857997,0.0000181269
0,r64_crop_resmed,0.2012908493,2644,0.9977307110,0.0701924706,0.0703857997,-0.0001933291
0,r64_crop_resmean,0.2160768104,2644,0.9977307110,0.0698470384,0.0703857997,-0.0005387613
0,r64_crop_rawmed,0.1975278763,2644,0.9977307110,0.0701861825,0.0703857997,-0.0001996172
0,r64_crop_s2_resmed,0.1710577984,2644,0.5427382753,0.0702604492,0.0703857997,-0.0001253505
0,r64_crop_landsat_resmed,0.1706555372,2644,0.4882753404,0.0702925931,0.0703857997,-0.0000932067
0,r64_crop_modis_resmed,0.0771015895,2644,0.2065052950,0.0704212911,0.0703857997,0.0000354914
0,date_resmed,0.1943662228,2644,1.0000000000,0.0702596640,0.0703857997,-0.0001261357
0,crop_resmed,0.1970010153,2644,0.9977307110,0.0701843386,0.0703857997,-0.0002014611
0,date_resmean,0.1786180135,2644,1.0000000000,0.0703032226,0.0703857997,-0.0000825771
0,crop_resmean,0.1972818783,2644,0.9977307110,0.0702067914,0.0703857997,-0.0001790083
1,r1_all_resmed,0.1402553956,2644,0.8396369138,0.0624832007,0.0630224991,-0.0005392984
1,r1_all_resmean,0.1402553956,2644,0.8396369138,0.0624832007,0.0630224991,-0.0005392984
1,r1_all_rawmed,0.1398256292,2644,0.8396369138,0.0624907057,0.0630224991,-0.0005317934
1,r1_all_s2_resmed,0.1383827652,2644,0.3740544629,0.0627435827,0.0630224991,-0.0002789164
1,r1_all_landsat_resmed,0.1845592373,2644,0.3222390318,0.0629007446,0.0630224991,-0.0001217544
1,r1_all_modis_resmed,0.0950230367,2644,0.1603630862,0.0629073543,0.0630224991,-0.0001151447
1,r1_crop_resmed,0.1423929874,2644,0.8275340393,0.0624428471,0.0630224991,-0.0005796519
1,r1_crop_resmean,0.1423929874,2644,0.8275340393,0.0624428471,0.0630224991,-0.0005796519
1,r1_crop_rawmed,0.1421740457,2644,0.8275340393,0.0624508860,0.0630224991,-0.0005716131
1,r1_crop_s2_resmed,0.1468926526,2644,0.3661119516,0.0627362868,0.0630224991,-0.0002862122
1,r1_crop_landsat_resmed,0.1849673654,2644,0.3169440242,0.0628549290,0.0630224991,-0.0001675701
1,r1_crop_modis_resmed,0.0986277906,2644,0.1554462935,0.0629014665,0.0630224991,-0.0001210325
1,r2_all_resmed,0.1430518781,2644,0.9773071104,0.0622508242,0.0630224991,-0.0007716749
1,r2_all_resmean,0.1485816315,2644,0.9773071104,0.0622093102,0.0630224991,-0.0008131889
1,r2_all_rawmed,0.1431140271,2644,0.9773071104,0.0622852776,0.0630224991,-0.0007372215
1,r2_all_s2_resmed,0.1356719927,2644,0.4636913767,0.0624452489,0.0630224991,-0.0005772501
1,r2_all_landsat_resmed,0.1930569891,2644,0.3997730711,0.0630164777,0.0630224991,-0.0000060213
1,r2_all_modis_resmed,0.0701413152,2644,0.1913767020,0.0629999208,0.0630224991,-0.0000225783
1,r2_crop_resmed,0.1402827502,2644,0.9670953101,0.0623053583,0.0630224991,-0.0007171408
1,r2_crop_resmean,0.1462439042,2644,0.9670953101,0.0622501897,0.0630224991,-0.0007723093
1,r2_crop_rawmed,0.1403903294,2644,0.9670953101,0.0623385613,0.0630224991,-0.0006839378
1,r2_crop_s2_resmed,0.1543066725,2644,0.4447806354,0.0624164071,0.0630224991,-0.0006060920
1,r2_crop_landsat_resmed,0.1913597498,2644,0.3812405446,0.0629735416,0.0630224991,-0.0000489575
