candidate,seed,group,n,rmse,baseline_rmse,delta_rmse
c60_hist_0.09,0,shared2025,377,0.0470525349,0.0465642964,0.0004882385
c60_hist_0.09,1,shared2025,377,0.0506754771,0.0507891398,-0.0001136628
c60_hist_0.09,70404,shared2025,377,0.0583952263,0.0582164708,0.0001787556
c60_hist_0.10,0,all,2644,0.0714476964,0.0715691565,-0.0001214601
c60_hist_0.10,1,all,2644,0.0645280390,0.0644982523,0.0000297867
c60_hist_0.10,70404,all,2644,0.0695891081,0.0698641263,-0.0002750182
c60_hist_0.10,0,history,1888,0.0780710366,0.0783223811,-0.0002513445
c60_hist_0.10,1,history,1888,0.0679782820,0.0680570784,-0.0000787965
c60_hist_0.10,70404,history,1888,0.0639909126,0.0645352640,-0.0005443515
c60_hist_0.10,0,2025,756,0.0512992166,0.0509332310,0.0003659856
c60_hist_0.10,1,2025,756,0.0549739009,0.0546069512,0.0003669497
c60_hist_0.10,70404,2025,756,0.0819157087,0.0816675643,0.0002481443
c60_hist_0.10,0,new,2267,0.0747269363,0.0749224715,-0.0001955352
c60_hist_0.10,1,new,2267,0.0665481247,0.0665045729,0.0000435518
c60_hist_0.10,70404,new,2267,0.0712737618,0.0716176482,-0.0003438865
c60_hist_0.10,0,shared,377,0.0471419758,0.0465642964,0.0005776794
c60_hist_0.10,1,shared,377,0.0507113949,0.0507891398,-0.0000777449
c60_hist_0.10,70404,shared,377,0.0584436976,0.0582164708,0.0002272268
c60_hist_0.10,0,new2025,379,0.0551243482,0.0549354761,0.0001888721
c60_hist_0.10,1,new2025,379,0.0589087155,0.0581564968,0.0007522187
c60_hist_0.10,70404,new2025,379,0.0999365576,0.0996630005,0.0002735571
c60_hist_0.10,0,shared2025,377,0.0471419758,0.0465642964,0.0005776794
c60_hist_0.10,1,shared2025,377,0.0507113949,0.0507891398,-0.0000777449
c60_hist_0.10,70404,shared2025,377,0.0584436976,0.0582164708,0.0002272268
c60_hist_0.12,0,all,2644,0.0714711024,0.0715691565,-0.0000980541
c60_hist_0.12,1,all,2644,0.0645987442,0.0644982523,0.0001004919
c60_hist_0.12,70404,all,2644,0.0695914024,0.0698641263,-0.0002727239
c60_hist_0.12,0,history,1888,0.0780625110,0.0783223811,-0.0002598701
c60_hist_0.12,1,history,1888,0.0680168658,0.0680570784,-0.0000402126
c60_hist_0.12,70404,history,1888,0.0639444305,0.0645352640,-0.0005908335
c60_hist_0.12,0,2025,756,0.0514454385,0.0509332310,0.0005122075
c60_hist_0.12,1,2025,756,0.0551448659,0.0546069512,0.0005379147
c60_hist_0.12,70404,2025,756,0.0820131156,0.0816675643,0.0003455512
c60_hist_0.12,0,new,2267,0.0747320580,0.0749224715,-0.0001904135
c60_hist_0.12,1,new,2267,0.0666153040,0.0665045729,0.0001107311
c60_hist_0.12,70404,new,2267,0.0712608163,0.0716176482,-0.0003568319
c60_hist_0.12,0,shared,377,0.0473415602,0.0465642964,0.0007772638
c60_hist_0.12,1,shared,377,0.0508122286,0.0507891398,0.0000230888
c60_hist_0.12,70404,shared,377,0.0585576706,0.0582164708,0.0003411999
c60_hist_0.12,0,new2025,379,0.0552259324,0.0549354761,0.0002904562
c60_hist_0.12,1,new2025,379,0.0591405726,0.0581564968,0.0009840759
c60_hist_0.12,70404,new2025,379,0.1000295069,0.0996630005,0.0003665064
c60_hist_0.12,0,shared2025,377,0.0473415602,0.0465642964,0.0007772638
c60_hist_0.12,1,shared2025,377,0.0508122286,0.0507891398,0.0000230888
c60_hist_0.12,70404,shared2025,377,0.0585576706,0.0582164708,0.0003411999
c60_hist_0.15,0,all,2644,0.0715359930,0.0715691565,-0.0000331634
c60_hist_0.15,1,all,2644,0.0647450265,0.0644982523,0.0002467742
c60_hist_0.15,70404,all,2644,0.0696307106,0.0698641263,-0.0002334157
c60_hist_0.15,0,history,1888,0.0780758640,0.0783223811,-0.0002465171
c60_hist_0.15,1,history,1888,0.0681086211,0.0680570784,0.0000515427
c60_hist_0.15,70404,history,1888,0.0639139959,0.0645352640,-0.0006212681
c60_hist_0.15,0,2025,756,0.0517095850,0.0509332310,0.0007763539
c60_hist_0.15,1,2025,756,0.0554611225,0.0546069512,0.0008541713
c60_hist_0.15,70404,2025,756,0.0821888597,0.0816675643,0.0005212954
c60_hist_0.15,0,new,2267,0.0747674050,0.0749224715,-0.0001550664
c60_hist_0.15,1,new,2267,0.0667524103,0.0665045729,0.0002478374
c60_hist_0.15,70404,new,2267,0.0712764003,0.0716176482,-0.0003412479
c60_hist_0.15,0,shared,377,0.0476920208,0.0465642964,0.0011277244
c60_hist_0.15,1,shared,377,0.0510355034,0.0507891398,0.0002463636
c60_hist_0.15,70404,shared,377,0.0587709462,0.0582164708,0.0005544754
c60_hist_0.15,0,new2025,379,0.0554177419,0.0549354761,0.0004822657
c60_hist_0.15,1,new2025,379,0.0595379078,0.0581564968,0.0013814111
c60_hist_0.15,70404,new2025,379,0.1001926832,0.0996630005,0.0005296827
c60_hist_0.15,0,shared2025,377,0.0476920208,0.0465642964,0.0011277244
c60_hist_0.15,1,shared2025,377,0.0510355034,0.0507891398,0.0002463636
c60_hist_0.15,70404,shared2025,377,0.0587709462,0.0582164708,0.0005544754
c80_hist_0.07,0,all,2644,0.0714159555,0.0715691565,-0.0001532010
c80_hist_0.07,1,all,2644,0.0644274818,0.0644982523,-0.0000707705
c80_hist_0.07,70404,all,2644,0.0696365730,0.0698641263,-0.0002275533
c80_hist_0.07,0,history,1888,0.0781012294,0.0783223811,-0.0002211517
c80_hist_0.07,1,history,1888,0.0679498425,0.0680570784,-0.0001072359
c80_hist_0.07,70404,history,1888,0.0642089901,0.0645352640,-0.0003262739
c80_hist_0.07,0,2025,756,0.0510291557,0.0509332310,0.0000959246
c80_hist_0.07,1,2025,756,0.0546482591,0.0546069512,0.0000413080
c80_hist_0.07,70404,2025,756,0.0816301120,0.0816675643,-0.0000374523
c80_hist_0.07,0,new,2267,0.0747364916,0.0749224715,-0.0001859799
c80_hist_0.07,1,new,2267,0.0664559735,0.0665045729,-0.0000485994
c80_hist_0.07,70404,new,2267,0.0714009535,0.0716176482,-0.0002166947
