candidate,seed,group,n,rmse,baseline_rmse,delta_rmse
c80_hist_0.15,0,2025,756,0.0514600287,0.0509332310,0.0005267976
c80_hist_0.15,1,2025,756,0.0551179916,0.0546069512,0.0005110404
c80_hist_0.15,70404,2025,756,0.0818038684,0.0816675643,0.0001363041
c80_hist_0.15,0,new,2267,0.0746886821,0.0749224715,-0.0002337894
c80_hist_0.15,1,new,2267,0.0666262182,0.0665045729,0.0001216453
c80_hist_0.15,70404,new,2267,0.0713943185,0.0716176482,-0.0002233298
c80_hist_0.15,0,shared,377,0.0472635827,0.0465642964,0.0006992863
c80_hist_0.15,1,shared,377,0.0507649784,0.0507891398,-0.0000241615
c80_hist_0.15,70404,shared,377,0.0578536689,0.0582164708,-0.0003628019
c80_hist_0.15,0,new2025,379,0.0553194056,0.0549354761,0.0003839295
c80_hist_0.15,1,new2025,379,0.0591309625,0.0581564968,0.0009744657
c80_hist_0.15,70404,new2025,379,0.1000951946,0.0996630005,0.0004321941
c80_hist_0.15,0,shared2025,377,0.0472635827,0.0465642964,0.0006992863
c80_hist_0.15,1,shared2025,377,0.0507649784,0.0507891398,-0.0000241615
c80_hist_0.15,70404,shared2025,377,0.0578536689,0.0582164708,-0.0003628019
