protocol,seed,n,rmse,mae,train_n,features
random0,0,4571,0.06090806262575952,0.03958147099541158,25949,69
random1,1,4571,0.061139120354591514,0.04045139755758467,25949,69
random2,2,4571,0.059641730404597075,0.039562150394029286,25949,69
proxy2025,3,1517,0.06962460663246597,0.038377102469641815,16124,69
