year,truth,doy,idw5_s2,idw5_ls,idw5_md
2015,0.4562754176610979,177,0.1347517730496454,0.23877068557919623,0.6264775413711584
2015,0.3779444868735085,225,0.2711743772241993,0.29110320284697505,0.4377224199288256
2015,0.6350898741363588,216,0.46737044145873324,0.5182341650671785,0.01439539347408829
2015,0.4933280904586456,113,0.08361204013377925,0.2516722408026756,0.6647157190635451
2015,0.7803446576038624,145,0.1245819397993311,0.21070234113712372,0.6647157190635451
2015,0.5558959598526235,193,0.13250194855806702,0.29462197973499615,0.5728760717069369
2015,0.3619862660398933,257,0.20185449358059915,0.18830242510699,0.6098430813124108
2015,0.3184156669650852,177,0.3781452192667146,0.1365923795830338,0.4852624011502517
2015,0.2629123545210385,209,0.2481703260146374,0.22288755821689954,0.5289421157684632
2015,0.2615439122649956,225,0.37636761487964987,0.13129102844638946,0.49234135667396056
2015,0.2529811983471074,225,0.28884026258205686,0.13129102844638946,0.5798687089715536
2015,0.2583764462809917,273,0.23195876288659795,0.18262150220913106,0.585419734904271
2015,0.3226004132231404,289,0.23519458544839253,0.14297800338409475,0.6218274111675127
2015,0.5257336323763958,97,0.2976377952755906,0.12362204724409447,0.5787401574803149
2015,0.7028311004784689,113,0.2602965403624382,0.18369028006589785,0.5560131795716639
2015,0.8619288050392855,144,0.2822085889570552,0.25766871165644173,0.46012269938650313
2015,0.3490917264752792,193,0.27414772727272724,0.2038352272727273,0.5220170454545455
2015,0.2668621810207337,273,0.24609929078014184,0.1900709219858156,0.5638297872340425
2015,0.2608348388800844,289,0.26024442846872753,0.34076204169662117,0.3989935298346513
2015,0.3195006677426553,104,0.3780487804878049,0.5990853658536586,0.02286585365853659
2015,0.6200456805580399,145,0.19541080680977052,0.26054774241302736,0.5440414507772021
2015,0.620972845585649,113,0.22468588322246857,0.32076866223207684,0.45454545454545453
2015,0.4080606753429477,193,0.2359767891682785,0.36750483558994196,0.39651837524177946
2015,0.6777489822204777,199,0.4292035398230088,0.554203539823009,0.016592920353982302
2015,0.3930608250937608,145,0.2058602554470323,0.24192336589030802,0.5522163786626596
2015,0.2109139680345961,239,0.3786407766990292,0.4312297734627833,0.19012944983818772
2015,0.2471097511080805,273,0.267219387755102,0.3022959183673469,0.430484693877551
2015,0.2181491531561097,264,0.4146341463414634,0.5687361419068736,0.01662971175166297
2015,0.6287479421161435,97,0.12742616033755275,0.15105485232067511,0.7215189873417721
2015,0.9104869009584664,129,0.1266778523489933,0.20637583892617448,0.6669463087248322
2015,0.3009386769404248,193,0.12439807383627607,0.28571428571428575,0.5898876404494382
2015,0.2148690659650441,273,0.1405152224824356,0.19203747072599528,0.667447306791569
2015,0.5215074898785426,193,0.08291873963515753,0.3076285240464345,0.6094527363184079
2015,0.2966963562753036,289,0.13236627379873075,0.25566636446056207,0.6119673617407072
2015,0.8009890410958904,161,0.308584686774942,0.26218097447795824,0.42923433874709976
2015,0.2767601262748907,161,0.2294344473007712,0.2982005141388175,0.4723650385604113
2015,0.1843442300062338,186,0.4534412955465587,0.5313765182186235,0.015182186234817815
2015,0.1333046499339716,258,0.43886639676113354,0.2817813765182186,0.27935222672064774
2015,0.5577506876792881,161,0.24287564766839373,0.2422279792746114,0.5148963730569948
2015,0.2842787253141832,97,0.30666666666666664,0.2822222222222222,0.4111111111111111
2015,0.3546143776231796,266,0.41688654353562005,0.5633245382585752,0.01978891820580475
2015,0.3319823803430174,273,0.30246913580246915,0.2757201646090535,0.4218106995884774
2015,0.200285308056872,97,0.3,0.29782608695652174,0.40217391304347827
2015,0.2333667212436278,226,0.31662688941925216,0.4327764518695306,0.25059665871121717
2015,0.2392996023608613,281,0.46716417910447755,0.5104477611940299,0.02238805970149254
2015,0.2524702673786665,289,0.3403141361256545,0.24457741211667913,0.4151084517576665
2015,0.2792463342636879,273,0.3182135380321005,0.2944870900209351,0.3872993719469644
2015,0.4347703003972362,113,0.29314079422382666,0.2628158844765343,0.444043321299639
2015,0.2402855007234909,178,0.4174107142857143,0.37053571428571436,0.21205357142857145
2015,0.3979439027083167,273,0.3545647558386412,0.2526539278131635,0.39278131634819535
2015,0.2509093984866461,224,0.4083155650319829,0.15991471215351813,0.43176972281449894
2015,0.2778855856467816,225,0.13202437373053486,0.37034529451591064,0.4976303317535545
2015,0.2043972510301665,273,0.17067669172932332,0.41203007518796997,0.4172932330827068
2015,0.343461166756903,97,0.21561051004636786,0.26275115919629055,0.5216383307573416
2015,0.8357178397401189,129,0.1076573161485974,0.24412433661865052,0.6482183472327521
2015,0.6719811320754717,145,0.1828703703703704,0.34259259259259256,0.4745370370370371
2015,0.5983471698113207,225,0.2766884531590414,0.3202614379084967,0.4030501089324619
2015,0.3961735849056604,273,0.11959876543209874,0.2669753086419753,0.6134259259259259
2015,0.5375192056681046,159,0.20612244897959184,0.5744897959183674,0.2193877551020408
2015,0.7935706534758107,199,0.23058823529411768,0.751764705882353,0.017647058823529415
2015,0.4127407024280045,239,0.1980461811722913,0.5932504440497336,0.20870337477797513
2015,0.2942507689021786,257,0.18692206076618229,0.32760898282694845,0.4854689564068692
2015,0.5491550499263383,113,0.08361204013377925,0.3520066889632107,0.56438127090301
2015,0.6095700114585039,177,0.16336295283663704,0.3752563226247437,0.4613807245386193
2015,0.5823402684563759,209,0.12152070604209098,0.5016972165648337,0.37678207739307534
2015,0.5961406046469503,214,0.21444201312910283,0.6706783369803063,0.1148796498905908
2015,0.2879655262727124,241,0.21648136036625248,0.38129496402877694,0.40222367560497063
2015,0.1846378059561002,254,0.2941970310391363,0.4426450742240216,0.2631578947368421
2015,0.2588892290063841,257,0.1922554347826087,0.30842391304347827,0.4993206521739131
2015,0.5119,129,0.09798055347793568,0.35228122662677636,0.549738219895288
2015,0.4544,257,0.17982747179827469,0.3324485733244857,0.4877239548772395
2015,0.6990563920983972,113,0.08237232289950576,0.31219110378912684,0.6054365733113674
2015,0.7779221021244874,161,0.18609703113685733,0.4120202751629255,0.40188269370021723
2015,0.4498801076514963,199,0.24408468244084683,0.7372353673723537,0.018679950186799504
2015,0.3099290719344018,289,0.1421232876712329,0.4340753424657534,0.42380136986301375
2015,0.5138380042462845,241,0.22717913520933428,0.35072065888812626,0.4221002059025395
2015,0.4113107484556361,254,0.2645631067961165,0.48058252427184467,0.25485436893203883
2015,0.2900062354104404,104,0.5753715498938429,0.39278131634819535,0.03184713375796178
2015,0.4630243113388854,113,0.23836276083467098,0.21990369181380418,0.5417335473515249
2015,0.7890142857142858,145,0.25268817204301075,0.1367127496159754,0.6105990783410138
2015,0.3066505445227419,257,0.45478547854785484,0.13927392739273928,0.40594059405940597
2015,0.588674271946365,113,0.23893805309734512,0.21802091713596136,0.5430410297666934
2015,0.6911856065367693,177,0.35864063629790316,0.15328994938539406,0.4880694143167028
2015,0.3187291075931218,224,0.4631578947368421,0.1736842105263158,0.3631578947368421
2015,0.8500052013725844,177,0.35396941005098326,0.15440640932265112,0.49162418062636565
2015,0.2999150081271446,257,0.46025384101536404,0.1289245156980628,0.41082164328657317
2015,0.2552426584793209,273,0.2933914306463326,0.21641249092229486,0.4901960784313726
2015,0.1845892057230375,113,0.20729813664596275,0.3152173913043478,0.47748447204968947
2015,0.2458309675058071,145,0.08123476848090982,0.32168968318440294,0.5970755483346872
2015,0.2078061747157582,161,0.1468071099407505,0.4088215931533904,0.44437129690585914
2015,0.2215164757963623,177,0.25275482093663915,0.2823691460055096,0.46487603305785125
2015,0.3685791261668752,257,0.24287749287749286,0.3618233618233618,0.39529914529914534
2015,0.5067315461039493,145,0.08123476848090982,0.32168968318440294,0.5970755483346872
2015,0.4730978863569033,161,0.15370018975332067,0.41935483870967744,0.4269449715370019
2015,0.3843902122041269,193,0.16689750692520774,0.44875346260387816,0.3843490304709141
2015,0.4658651705185824,145,0.10050251256281408,0.28391959798994976,0.6155778894472362
2015,0.357928409090909,177,0.25486111111111115,0.3597222222222222,0.3854166666666667
2015,0.2956114300549768,193,0.13113553113553114,0.4183150183150183,0.45054945054945056
2015,0.2560034868490995,225,0.14079422382671478,0.24187725631768953,0.6173285198555957
