seed,method,alpha,n,rmse
2,soft_all_r1_l1_p1,0.0000000000,2644,0.0668046092
2,soft_all_r1_l1_p1,0.0500000000,2644,0.0666257743
2,soft_all_r1_l1_p1,0.1000000000,2644,0.0664648112
2,soft_all_r1_l1_p1,0.1500000000,2644,0.0663218500
2,soft_all_r1_l1_p1,0.2000000000,2644,0.0661970075
2,soft_all_r1_l1_p1,0.2500000000,2644,0.0660903862
2,soft_all_r1_l1_p1,0.3000000000,2644,0.0660020745
2,soft_all_r1_l1_p1,0.3500000000,2644,0.0659321460
2,soft_all_r1_l1_p1,0.4000000000,2644,0.0658806592
2,soft_all_r1_l1_p1,0.4500000000,2644,0.0658476573
2,soft_all_r1_l1_p1,0.5000000000,2644,0.0658331682
2,soft_all_r1_l1_p1,0.5500000000,2644,0.0658372041
2,soft_all_r1_l1_p1,0.6000000000,2644,0.0658597615
2,soft_all_r1_l1_p1,0.6500000000,2644,0.0659008215
2,soft_all_r1_l1_p1,0.7000000000,2644,0.0659603495
2,soft_all_r1_l1_p1,0.7500000000,2644,0.0660382956
2,soft_all_r1_l1_p1,0.8000000000,2644,0.0661345946
2,soft_all_r1_l1_p2,0.0000000000,2644,0.0668046092
2,soft_all_r1_l1_p2,0.0500000000,2644,0.0665782557
2,soft_all_r1_l1_p2,0.1000000000,2644,0.0663738753
2,soft_all_r1_l1_p2,0.1500000000,2644,0.0661916714
2,soft_all_r1_l1_p2,0.2000000000,2644,0.0660318278
2,soft_all_r1_l1_p2,0.2500000000,2644,0.0658945071
2,soft_all_r1_l1_p2,0.3000000000,2644,0.0657798503
2,soft_all_r1_l1_p2,0.3500000000,2644,0.0656879762
2,soft_all_r1_l1_p2,0.4000000000,2644,0.0656189804
2,soft_all_r1_l1_p2,0.4500000000,2644,0.0655729352
2,soft_all_r1_l1_p2,0.5000000000,2644,0.0655498889
2,soft_all_r1_l1_p2,0.5500000000,2644,0.0655498658
2,soft_all_r1_l1_p2,0.6000000000,2644,0.0655728658
2,soft_all_r1_l1_p2,0.6500000000,2644,0.0656188649
2,soft_all_r1_l1_p2,0.7000000000,2644,0.0656878147
2,soft_all_r1_l1_p2,0.7500000000,2644,0.0657796429
2,soft_all_r1_l1_p2,0.8000000000,2644,0.0658942541
2,soft_all_r1_l1_p4,0.0000000000,2644,0.0668046092
2,soft_all_r1_l1_p4,0.0500000000,2644,0.0665514027
2,soft_all_r1_l1_p4,0.1000000000,2644,0.0663232705
2,soft_all_r1_l1_p4,0.1500000000,2644,0.0661204722
2,soft_all_r1_l1_p4,0.2000000000,2644,0.0659432414
2,soft_all_r1_l1_p4,0.2500000000,2644,0.0657917847
2,soft_all_r1_l1_p4,0.3000000000,2644,0.0656662806
2,soft_all_r1_l1_p4,0.3500000000,2644,0.0655668780
2,soft_all_r1_l1_p4,0.4000000000,2644,0.0654936959
2,soft_all_r1_l1_p4,0.4500000000,2644,0.0654468221
2,soft_all_r1_l1_p4,0.5000000000,2644,0.0654263132
2,soft_all_r1_l1_p4,0.5500000000,2644,0.0654321940
2,soft_all_r1_l1_p4,0.6000000000,2644,0.0654644573
2,soft_all_r1_l1_p4,0.6500000000,2644,0.0655230643
2,soft_all_r1_l1_p4,0.7000000000,2644,0.0656079443
2,soft_all_r1_l1_p4,0.7500000000,2644,0.0657189955
2,soft_all_r1_l1_p4,0.8000000000,2644,0.0658560856
2,soft_crop_r2_l0_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l0_p1,0.0500000000,2644,0.0665660239
2,soft_crop_r2_l0_p1,0.1000000000,2644,0.0663518736
2,soft_crop_r2_l0_p1,0.1500000000,2644,0.0661623957
2,soft_crop_r2_l0_p1,0.2000000000,2644,0.0659978028
2,soft_crop_r2_l0_p1,0.2500000000,2644,0.0658582813
2,soft_crop_r2_l0_p1,0.3000000000,2644,0.0657439909
2,soft_crop_r2_l0_p1,0.3500000000,2644,0.0656550633
2,soft_crop_r2_l0_p1,0.4000000000,2644,0.0655916018
2,soft_crop_r2_l0_p1,0.4500000000,2644,0.0655536802
2,soft_crop_r2_l0_p1,0.5000000000,2644,0.0655413430
2,soft_crop_r2_l0_p1,0.5500000000,2644,0.0655546044
2,soft_crop_r2_l0_p1,0.6000000000,2644,0.0655934492
2,soft_crop_r2_l0_p1,0.6500000000,2644,0.0656578317
2,soft_crop_r2_l0_p1,0.7000000000,2644,0.0657476770
2,soft_crop_r2_l0_p1,0.7500000000,2644,0.0658628809
2,soft_crop_r2_l0_p1,0.8000000000,2644,0.0660033107
2,soft_crop_r2_l0_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l0_p2,0.0500000000,2644,0.0665474132
2,soft_crop_r2_l0_p2,0.1000000000,2644,0.0663158254
2,soft_crop_r2_l0_p2,0.1500000000,2644,0.0661101150
2,soft_crop_r2_l0_p2,0.2000000000,2644,0.0659305242
2,soft_crop_r2_l0_p2,0.2500000000,2644,0.0657772670
2,soft_crop_r2_l0_p2,0.3000000000,2644,0.0656505278
2,soft_crop_r2_l0_p2,0.3500000000,2644,0.0655504603
2,soft_crop_r2_l0_p2,0.4000000000,2644,0.0654771869
2,soft_crop_r2_l0_p2,0.4500000000,2644,0.0654307976
2,soft_crop_r2_l0_p2,0.5000000000,2644,0.0654113496
2,soft_crop_r2_l0_p2,0.5500000000,2644,0.0654188670
2,soft_crop_r2_l0_p2,0.6000000000,2644,0.0654533403
2,soft_crop_r2_l0_p2,0.6500000000,2644,0.0655147272
2,soft_crop_r2_l0_p2,0.7000000000,2644,0.0656029519
2,soft_crop_r2_l0_p2,0.7500000000,2644,0.0657179065
2,soft_crop_r2_l0_p2,0.8000000000,2644,0.0658594510
2,soft_crop_r2_l0_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l0_p4,0.0500000000,2644,0.0665373912
2,soft_crop_r2_l0_p4,0.1000000000,2644,0.0662967761
2,soft_crop_r2_l0_p4,0.1500000000,2644,0.0660830545
2,soft_crop_r2_l0_p4,0.2000000000,2644,0.0658964882
2,soft_crop_r2_l0_p4,0.2500000000,2644,0.0657373082
2,soft_crop_r2_l0_p4,0.3000000000,2644,0.0656057139
2,soft_crop_r2_l0_p4,0.3500000000,2644,0.0655018717
2,soft_crop_r2_l0_p4,0.4000000000,2644,0.0654259136
2,soft_crop_r2_l0_p4,0.4500000000,2644,0.0653779368
2,soft_crop_r2_l0_p4,0.5000000000,2644,0.0653580030
2,soft_crop_r2_l0_p4,0.5500000000,2644,0.0653661378
2,soft_crop_r2_l0_p4,0.6000000000,2644,0.0654023307
2,soft_crop_r2_l0_p4,0.6500000000,2644,0.0654665353
2,soft_crop_r2_l0_p4,0.7000000000,2644,0.0655586691
2,soft_crop_r2_l0_p4,0.7500000000,2644,0.0656786147
2,soft_crop_r2_l0_p4,0.8000000000,2644,0.0658262200
2,soft_crop_r2_l0.25_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l0.25_p1,0.0500000000,2644,0.0665882529
2,soft_crop_r2_l0.25_p1,0.1000000000,2644,0.0663933870
2,soft_crop_r2_l0.25_p1,0.1500000000,2644,0.0662202013
2,soft_crop_r2_l0.25_p1,0.2000000000,2644,0.0660688663
2,soft_crop_r2_l0.25_p1,0.2500000000,2644,0.0659395323
2,soft_crop_r2_l0.25_p1,0.3000000000,2644,0.0658323291
2,soft_crop_r2_l0.25_p1,0.3500000000,2644,0.0657473650
2,soft_crop_r2_l0.25_p1,0.4000000000,2644,0.0656847262
2,soft_crop_r2_l0.25_p1,0.4500000000,2644,0.0656444766
2,soft_crop_r2_l0.25_p1,0.5000000000,2644,0.0656266574
2,soft_crop_r2_l0.25_p1,0.5500000000,2644,0.0656312869
2,soft_crop_r2_l0.25_p1,0.6000000000,2644,0.0656583604
2,soft_crop_r2_l0.25_p1,0.6500000000,2644,0.0657078501
2,soft_crop_r2_l0.25_p1,0.7000000000,2644,0.0657797054
2,soft_crop_r2_l0.25_p1,0.7500000000,2644,0.0658738531
2,soft_crop_r2_l0.25_p1,0.8000000000,2644,0.0659901978
2,soft_crop_r2_l0.25_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l0.25_p2,0.0500000000,2644,0.0665520972
2,soft_crop_r2_l0.25_p2,0.1000000000,2644,0.0663245738
2,soft_crop_r2_l0.25_p2,0.1500000000,2644,0.0661222972
2,soft_crop_r2_l0.25_p2,0.2000000000,2644,0.0659454995
2,soft_crop_r2_l0.25_p2,0.2500000000,2644,0.0657943863
2,soft_crop_r2_l0.25_p2,0.3000000000,2644,0.0656691348
2,soft_crop_r2_l0.25_p2,0.3500000000,2644,0.0655698932
2,soft_crop_r2_l0.25_p2,0.4000000000,2644,0.0654967798
2,soft_crop_r2_l0.25_p2,0.4500000000,2644,0.0654498821
2,soft_crop_r2_l0.25_p2,0.5000000000,2644,0.0654292564
2,soft_crop_r2_l0.25_p2,0.5500000000,2644,0.0654349277
2,soft_crop_r2_l0.25_p2,0.6000000000,2644,0.0654668891
2,soft_crop_r2_l0.25_p2,0.6500000000,2644,0.0655251021
2,soft_crop_r2_l0.25_p2,0.7000000000,2644,0.0656094969
2,soft_crop_r2_l0.25_p2,0.7500000000,2644,0.0657199725
2,soft_crop_r2_l0.25_p2,0.8000000000,2644,0.0658563978
2,soft_crop_r2_l0.25_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l0.25_p4,0.0500000000,2644,0.0665389674
2,soft_crop_r2_l0.25_p4,0.1000000000,2644,0.0662996976
2,soft_crop_r2_l0.25_p4,0.1500000000,2644,0.0660870864
2,soft_crop_r2_l0.25_p4,0.2000000000,2644,0.0659013917
2,soft_crop_r2_l0.25_p4,0.2500000000,2644,0.0657428416
2,soft_crop_r2_l0.25_p4,0.3000000000,2644,0.0656116329
2,soft_crop_r2_l0.25_p4,0.3500000000,2644,0.0655079300
2,soft_crop_r2_l0.25_p4,0.4000000000,2644,0.0654318635
2,soft_crop_r2_l0.25_p4,0.4500000000,2644,0.0653835299
2,soft_crop_r2_l0.25_p4,0.5000000000,2644,0.0653629908
2,soft_crop_r2_l0.25_p4,0.5500000000,2644,0.0653702724
2,soft_crop_r2_l0.25_p4,0.6000000000,2644,0.0654053653
2,soft_crop_r2_l0.25_p4,0.6500000000,2644,0.0654682248
2,soft_crop_r2_l0.25_p4,0.7000000000,2644,0.0655587712
2,soft_crop_r2_l0.25_p4,0.7500000000,2644,0.0656768898
2,soft_crop_r2_l0.25_p4,0.8000000000,2644,0.0658224322
2,soft_crop_r2_l1_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l1_p1,0.0500000000,2644,0.0666247723
2,soft_crop_r2_l1_p1,0.1000000000,2644,0.0664630668
2,soft_crop_r2_l1_p1,0.1500000000,2644,0.0663196252
2,soft_crop_r2_l1_p1,0.2000000000,2644,0.0661945663
2,soft_crop_r2_l1_p1,0.2500000000,2644,0.0660879944
2,soft_crop_r2_l1_p1,0.3000000000,2644,0.0659999992
2,soft_crop_r2_l1_p1,0.3500000000,2644,0.0659306550
2,soft_crop_r2_l1_p1,0.4000000000,2644,0.0658800207
2,soft_crop_r2_l1_p1,0.4500000000,2644,0.0658481394
2,soft_crop_r2_l1_p1,0.5000000000,2644,0.0658350384
2,soft_crop_r2_l1_p1,0.5500000000,2644,0.0658407290
2,soft_crop_r2_l1_p1,0.6000000000,2644,0.0658652062
2,soft_crop_r2_l1_p1,0.6500000000,2644,0.0659084490
2,soft_crop_r2_l1_p1,0.7000000000,2644,0.0659704207
2,soft_crop_r2_l1_p1,0.7500000000,2644,0.0660510685
2,soft_crop_r2_l1_p1,0.8000000000,2644,0.0661503240
2,soft_crop_r2_l1_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l1_p2,0.0500000000,2644,0.0665810192
2,soft_crop_r2_l1_p2,0.1000000000,2644,0.0663792287
2,soft_crop_r2_l1_p2,0.1500000000,2644,0.0661994371
2,soft_crop_r2_l1_p2,0.2000000000,2644,0.0660418240
2,soft_crop_r2_l1_p2,0.2500000000,2644,0.0659065487
2,soft_crop_r2_l1_p2,0.3000000000,2644,0.0657937489
2,soft_crop_r2_l1_p2,0.3500000000,2644,0.0657035402
2,soft_crop_r2_l1_p2,0.4000000000,2644,0.0656360160
2,soft_crop_r2_l1_p2,0.4500000000,2644,0.0655912462
2,soft_crop_r2_l1_p2,0.5000000000,2644,0.0655692774
2,soft_crop_r2_l1_p2,0.5500000000,2644,0.0655701327
2,soft_crop_r2_l1_p2,0.6000000000,2644,0.0655938109
2,soft_crop_r2_l1_p2,0.6500000000,2644,0.0656402876
2,soft_crop_r2_l1_p2,0.7000000000,2644,0.0657095143
2,soft_crop_r2_l1_p2,0.7500000000,2644,0.0658014191
2,soft_crop_r2_l1_p2,0.8000000000,2644,0.0659159073
2,soft_crop_r2_l1_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r2_l1_p4,0.0500000000,2644,0.0665571229
2,soft_crop_r2_l1_p4,0.1000000000,2644,0.0663342040
2,soft_crop_r2_l1_p4,0.1500000000,2644,0.0661361010
2,soft_crop_r2_l1_p4,0.2000000000,2644,0.0659630374
2,soft_crop_r2_l1_p4,0.2500000000,2644,0.0658152108
2,soft_crop_r2_l1_p4,0.3000000000,2644,0.0656927915
2,soft_crop_r2_l1_p4,0.3500000000,2644,0.0655959219
2,soft_crop_r2_l1_p4,0.4000000000,2644,0.0655247151
2,soft_crop_r2_l1_p4,0.4500000000,2644,0.0654792550
2,soft_crop_r2_l1_p4,0.5000000000,2644,0.0654595952
2,soft_crop_r2_l1_p4,0.5500000000,2644,0.0654657589
2,soft_crop_r2_l1_p4,0.6000000000,2644,0.0654977389
2,soft_crop_r2_l1_p4,0.6500000000,2644,0.0655554973
2,soft_crop_r2_l1_p4,0.7000000000,2644,0.0656389660
2,soft_crop_r2_l1_p4,0.7500000000,2644,0.0657480473
2,soft_crop_r2_l1_p4,0.8000000000,2644,0.0658826139
2,soft_all_r2_l0_p1,0.0000000000,2644,0.0668046092
2,soft_all_r2_l0_p1,0.0500000000,2644,0.0665711642
2,soft_all_r2_l0_p1,0.1000000000,2644,0.0663619069
2,soft_all_r2_l0_p1,0.1500000000,2644,0.0661770667
2,soft_all_r2_l0_p1,0.2000000000,2644,0.0660168487
2,soft_all_r2_l0_p1,0.2500000000,2644,0.0658814326
2,soft_all_r2_l0_p1,0.3000000000,2644,0.0657709715
2,soft_all_r2_l0_p1,0.3500000000,2644,0.0656855914
2,soft_all_r2_l0_p1,0.4000000000,2644,0.0656253901
2,soft_all_r2_l0_p1,0.4500000000,2644,0.0655904370
2,soft_all_r2_l0_p1,0.5000000000,2644,0.0655807724
2,soft_all_r2_l0_p1,0.5500000000,2644,0.0655964076
2,soft_all_r2_l0_p1,0.6000000000,2644,0.0656373243
2,soft_all_r2_l0_p1,0.6500000000,2644,0.0657034755
2,soft_all_r2_l0_p1,0.7000000000,2644,0.0657947850
2,soft_all_r2_l0_p1,0.7500000000,2644,0.0659111483
2,soft_all_r2_l0_p1,0.8000000000,2644,0.0660524328
2,soft_all_r2_l0_p2,0.0000000000,2644,0.0668046092
2,soft_all_r2_l0_p2,0.0500000000,2644,0.0665529603
2,soft_all_r2_l0_p2,0.1000000000,2644,0.0663268018
2,soft_all_r2_l0_p2,0.1500000000,2644,0.0661263954
2,soft_all_r2_l0_p2,0.2000000000,2644,0.0659519758
2,soft_all_r2_l0_p2,0.2500000000,2644,0.0658037497
2,soft_all_r2_l0_p2,0.3000000000,2644,0.0656818943
2,soft_all_r2_l0_p2,0.3500000000,2644,0.0655865566
2,soft_all_r2_l0_p2,0.4000000000,2644,0.0655178525
2,soft_all_r2_l0_p2,0.4500000000,2644,0.0654758658
2,soft_all_r2_l0_p2,0.5000000000,2644,0.0654606478
2,soft_all_r2_l0_p2,0.5500000000,2644,0.0654722172
2,soft_all_r2_l0_p2,0.6000000000,2644,0.0655105599
2,soft_all_r2_l0_p2,0.6500000000,2644,0.0655756289
2,soft_all_r2_l0_p2,0.7000000000,2644,0.0656673447
2,soft_all_r2_l0_p2,0.7500000000,2644,0.0657855959
2,soft_all_r2_l0_p2,0.8000000000,2644,0.0659302397
2,soft_all_r2_l0_p4,0.0000000000,2644,0.0668046092
2,soft_all_r2_l0_p4,0.0500000000,2644,0.0665439044
2,soft_all_r2_l0_p4,0.1000000000,2644,0.0663098254
2,soft_all_r2_l0_p4,0.1500000000,2644,0.0661026550
2,soft_all_r2_l0_p4,0.2000000000,2644,0.0659226469
2,soft_all_r2_l0_p4,0.2500000000,2644,0.0657700242
2,soft_all_r2_l0_p4,0.3000000000,2644,0.0656449779
2,soft_all_r2_l0_p4,0.3500000000,2644,0.0655476658
2,soft_all_r2_l0_p4,0.4000000000,2644,0.0654782116
2,soft_all_r2_l0_p4,0.4500000000,2644,0.0654367039
2,soft_all_r2_l0_p4,0.5000000000,2644,0.0654231960
2,soft_all_r2_l0_p4,0.5500000000,2644,0.0654377052
2,soft_all_r2_l0_p4,0.6000000000,2644,0.0654802128
2,soft_all_r2_l0_p4,0.6500000000,2644,0.0655506645
2,soft_all_r2_l0_p4,0.7000000000,2644,0.0656489701
2,soft_all_r2_l0_p4,0.7500000000,2644,0.0657750050
2,soft_all_r2_l0_p4,0.8000000000,2644,0.0659286099
2,soft_all_r2_l0.25_p1,0.0000000000,2644,0.0668046092
2,soft_all_r2_l0.25_p1,0.0500000000,2644,0.0665919970
2,soft_all_r2_l0.25_p1,0.1000000000,2644,0.0664007603
2,soft_all_r2_l0.25_p1,0.1500000000,2644,0.0662310843
2,soft_all_r2_l0.25_p1,0.2000000000,2644,0.0660831351
2,soft_all_r2_l0.25_p1,0.2500000000,2644,0.0659570588
2,soft_all_r2_l0.25_p1,0.3000000000,2644,0.0658529813
2,soft_all_r2_l0.25_p1,0.3500000000,2644,0.0657710068
2,soft_all_r2_l0.25_p1,0.4000000000,2644,0.0657112180
2,soft_all_r2_l0.25_p1,0.4500000000,2644,0.0656736757
2,soft_all_r2_l0.25_p1,0.5000000000,2644,0.0656584179
2,soft_all_r2_l0.25_p1,0.5500000000,2644,0.0656654602
2,soft_all_r2_l0.25_p1,0.6000000000,2644,0.0656947953
2,soft_all_r2_l0.25_p1,0.6500000000,2644,0.0657463936
2,soft_all_r2_l0.25_p1,0.7000000000,2644,0.0658202025
2,soft_all_r2_l0.25_p1,0.7500000000,2644,0.0659161475
2,soft_all_r2_l0.25_p1,0.8000000000,2644,0.0660341321
2,soft_all_r2_l0.25_p2,0.0000000000,2644,0.0668046092
2,soft_all_r2_l0.25_p2,0.0500000000,2644,0.0665573937
2,soft_all_r2_l0.25_p2,0.1000000000,2644,0.0663350394
2,soft_all_r2_l0.25_p2,0.1500000000,2644,0.0661377970
2,soft_all_r2_l0.25_p2,0.2000000000,2644,0.0659658918
2,soft_all_r2_l0.25_p2,0.2500000000,2644,0.0658195223
2,soft_all_r2_l0.25_p2,0.3000000000,2644,0.0656988592
2,soft_all_r2_l0.25_p2,0.3500000000,2644,0.0656040444
2,soft_all_r2_l0.25_p2,0.4000000000,2644,0.0655351900
2,soft_all_r2_l0.25_p2,0.4500000000,2644,0.0654923779
2,soft_all_r2_l0.25_p2,0.5000000000,2644,0.0654756592
2,soft_all_r2_l0.25_p2,0.5500000000,2644,0.0654850539
2,soft_all_r2_l0.25_p2,0.6000000000,2644,0.0655205508
2,soft_all_r2_l0.25_p2,0.6500000000,2644,0.0655821074
2,soft_all_r2_l0.25_p2,0.7000000000,2644,0.0656696505
2,soft_all_r2_l0.25_p2,0.7500000000,2644,0.0657830763
2,soft_all_r2_l0.25_p2,0.8000000000,2644,0.0659222512
2,soft_all_r2_l0.25_p4,0.0000000000,2644,0.0668046092
2,soft_all_r2_l0.25_p4,0.0500000000,2644,0.0665451697
2,soft_all_r2_l0.25_p4,0.1000000000,2644,0.0663120719
2,soft_all_r2_l0.25_p4,0.1500000000,2644,0.0661055944
2,soft_all_r2_l0.25_p4,0.2000000000,2644,0.0659259874
2,soft_all_r2_l0.25_p4,0.2500000000,2644,0.0657734709
2,soft_all_r2_l0.25_p4,0.3000000000,2644,0.0656482339
2,soft_all_r2_l0.25_p4,0.3500000000,2644,0.0655504325
2,soft_all_r2_l0.25_p4,0.4000000000,2644,0.0654801899
2,soft_all_r2_l0.25_p4,0.4500000000,2644,0.0654375947
2,soft_all_r2_l0.25_p4,0.5000000000,2644,0.0654227009
2,soft_all_r2_l0.25_p4,0.5500000000,2644,0.0654355275
2,soft_all_r2_l0.25_p4,0.6000000000,2644,0.0654760581
2,soft_all_r2_l0.25_p4,0.6500000000,2644,0.0655442414
2,soft_all_r2_l0.25_p4,0.7000000000,2644,0.0656399912
2,soft_all_r2_l0.25_p4,0.7500000000,2644,0.0657631870
2,soft_all_r2_l0.25_p4,0.8000000000,2644,0.0659136751
2,soft_all_r2_l1_p1,0.0000000000,2644,0.0668046092
2,soft_all_r2_l1_p1,0.0500000000,2644,0.0666264586
2,soft_all_r2_l1_p1,0.1000000000,2644,0.0664664615
2,soft_all_r2_l1_p1,0.1500000000,2644,0.0663247493
2,soft_all_r2_l1_p1,0.2000000000,2644,0.0662014393
2,soft_all_r2_l1_p1,0.2500000000,2644,0.0660966346
2,soft_all_r2_l1_p1,0.3000000000,2644,0.0660104233
2,soft_all_r2_l1_p1,0.3500000000,2644,0.0659428784
2,soft_all_r2_l1_p1,0.4000000000,2644,0.0658940572
2,soft_all_r2_l1_p1,0.4500000000,2644,0.0658640013
2,soft_all_r2_l1_p1,0.5000000000,2644,0.0658527366
2,soft_all_r2_l1_p1,0.5500000000,2644,0.0658602726
2,soft_all_r2_l1_p1,0.6000000000,2644,0.0658866028
2,soft_all_r2_l1_p1,0.6500000000,2644,0.0659317048
2,soft_all_r2_l1_p1,0.7000000000,2644,0.0659955400
2,soft_all_r2_l1_p1,0.7500000000,2644,0.0660780542
2,soft_all_r2_l1_p1,0.8000000000,2644,0.0661791775
2,soft_all_r2_l1_p2,0.0000000000,2644,0.0668046092
2,soft_all_r2_l1_p2,0.0500000000,2644,0.0665850402
2,soft_all_r2_l1_p2,0.1000000000,2644,0.0663873026
2,soft_all_r2_l1_p2,0.1500000000,2644,0.0662115920
2,soft_all_r2_l1_p2,0.2000000000,2644,0.0660580842
2,soft_all_r2_l1_p2,0.2500000000,2644,0.0659269342
2,soft_all_r2_l1_p2,0.3000000000,2644,0.0658182758
2,soft_all_r2_l1_p2,0.3500000000,2644,0.0657322204
2,soft_all_r2_l1_p2,0.4000000000,2644,0.0656688569
2,soft_all_r2_l1_p2,0.4500000000,2644,0.0656282511
2,soft_all_r2_l1_p2,0.5000000000,2644,0.0656104452
2,soft_all_r2_l1_p2,0.5500000000,2644,0.0656154577
2,soft_all_r2_l1_p2,0.6000000000,2644,0.0656432835
2,soft_all_r2_l1_p2,0.6500000000,2644,0.0656938935
2,soft_all_r2_l1_p2,0.7000000000,2644,0.0657672352
2,soft_all_r2_l1_p2,0.7500000000,2644,0.0658632325
2,soft_all_r2_l1_p2,0.8000000000,2644,0.0659817867
2,soft_all_r2_l1_p4,0.0000000000,2644,0.0668046092
2,soft_all_r2_l1_p4,0.0500000000,2644,0.0665636368
2,soft_all_r2_l1_p4,0.1000000000,2644,0.0663472973
2,soft_all_r2_l1_p4,0.1500000000,2644,0.0661558325
2,soft_all_r2_l1_p4,0.2000000000,2644,0.0659894587
2,soft_all_r2_l1_p4,0.2500000000,2644,0.0658483662
2,soft_all_r2_l1_p4,0.3000000000,2644,0.0657327179
2,soft_all_r2_l1_p4,0.3500000000,2644,0.0656426481
2,soft_all_r2_l1_p4,0.4000000000,2644,0.0655782623
2,soft_all_r2_l1_p4,0.4500000000,2644,0.0655396362
2,soft_all_r2_l1_p4,0.5000000000,2644,0.0655268153
2,soft_all_r2_l1_p4,0.5500000000,2644,0.0655398148
2,soft_all_r2_l1_p4,0.6000000000,2644,0.0655786193
2,soft_all_r2_l1_p4,0.6500000000,2644,0.0656431830
2,soft_all_r2_l1_p4,0.7000000000,2644,0.0657334301
2,soft_all_r2_l1_p4,0.7500000000,2644,0.0658492550
2,soft_all_r2_l1_p4,0.8000000000,2644,0.0659905229
2,soft_crop_r4_l0_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r4_l0_p1,0.0500000000,2644,0.0665714118
2,soft_crop_r4_l0_p1,0.1000000000,2644,0.0663628510
2,soft_crop_r4_l0_p1,0.1500000000,2644,0.0661791597
2,soft_crop_r4_l0_p1,0.2000000000,2644,0.0660205455
2,soft_crop_r4_l0_p1,0.2500000000,2644,0.0658871896
2,soft_crop_r4_l0_p1,0.3000000000,2644,0.0657792456
2,soft_crop_r4_l0_p1,0.3500000000,2644,0.0656968387
2,soft_crop_r4_l0_p1,0.4000000000,2644,0.0656400651
2,soft_crop_r4_l0_p1,0.4500000000,2644,0.0656089913
2,soft_crop_r4_l0_p1,0.5000000000,2644,0.0656036540
2,soft_crop_r4_l0_p1,0.5500000000,2644,0.0656240592
2,soft_crop_r4_l0_p1,0.6000000000,2644,0.0656701831
2,soft_crop_r4_l0_p1,0.6500000000,2644,0.0657419716
2,soft_crop_r4_l0_p1,0.7000000000,2644,0.0658393406
2,soft_crop_r4_l0_p1,0.7500000000,2644,0.0659621769
2,soft_crop_r4_l0_p1,0.8000000000,2644,0.0661103385
2,soft_crop_r4_l0_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r4_l0_p2,0.0500000000,2644,0.0665678190
2,soft_crop_r4_l0_p2,0.1000000000,2644,0.0663566511
2,soft_crop_r4_l0_p2,0.1500000000,2644,0.0661713509
2,soft_crop_r4_l0_p2,0.2000000000,2644,0.0660121361
2,soft_crop_r4_l0_p2,0.2500000000,2644,0.0658791961
2,soft_crop_r4_l0_p2,0.3000000000,2644,0.0657726899
2,soft_crop_r4_l0_p2,0.3500000000,2644,0.0656927464
2,soft_crop_r4_l0_p2,0.4000000000,2644,0.0656394623
2,soft_crop_r4_l0_p2,0.4500000000,2644,0.0656129029
2,soft_crop_r4_l0_p2,0.5000000000,2644,0.0656131004
2,soft_crop_r4_l0_p2,0.5500000000,2644,0.0656400546
2,soft_crop_r4_l0_p2,0.6000000000,2644,0.0656937327
2,soft_crop_r4_l0_p2,0.6500000000,2644,0.0657740691
2,soft_crop_r4_l0_p2,0.7000000000,2644,0.0658809664
2,soft_crop_r4_l0_p2,0.7500000000,2644,0.0660142955
2,soft_crop_r4_l0_p2,0.8000000000,2644,0.0661738967
2,soft_crop_r4_l0_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r4_l0_p4,0.0500000000,2644,0.0665690007
2,soft_crop_r4_l0_p4,0.1000000000,2644,0.0663602414
2,soft_crop_r4_l0_p4,0.1500000000,2644,0.0661785855
2,soft_crop_r4_l0_p4,0.2000000000,2644,0.0660242567
2,soft_crop_r4_l0_p4,0.2500000000,2644,0.0658974470
2,soft_crop_r4_l0_p4,0.3000000000,2644,0.0657983155
2,soft_crop_r4_l0_p4,0.3500000000,2644,0.0657269874
2,soft_crop_r4_l0_p4,0.4000000000,2644,0.0656835534
2,soft_crop_r4_l0_p4,0.4500000000,2644,0.0656680687
2,soft_crop_r4_l0_p4,0.5000000000,2644,0.0656805532
2,soft_crop_r4_l0_p4,0.5500000000,2644,0.0657209909
2,soft_crop_r4_l0_p4,0.6000000000,2644,0.0657893302
2,soft_crop_r4_l0_p4,0.6500000000,2644,0.0658854843
2,soft_crop_r4_l0_p4,0.7000000000,2644,0.0660093317
2,soft_crop_r4_l0_p4,0.7500000000,2644,0.0661607169
2,soft_crop_r4_l0_p4,0.8000000000,2644,0.0663394513
2,soft_crop_r4_l0.25_p1,0.0000000000,2644,0.0668046092
2,soft_crop_r4_l0.25_p1,0.0500000000,2644,0.0665896227
2,soft_crop_r4_l0.25_p1,0.1000000000,2644,0.0663966498
