seed,feature,variant,alpha,n,finite,rmse,baseline_rmse,delta,coef_crop,coef_state
0,crop_shock,loo,0.16914792555987235,2644,1924,0.07019263246609757,0.07038579971858386,-0.00019316725248628985,,
0,crop_shock,fixed010,0.1,2644,1924,0.07020887097053603,0.07038579971858386,-0.00017692874804782488,,
0,crop_shock,fixed015,0.15,2644,1924,0.07018842956003495,0.07038579971858386,-0.00019737015854891238,,
0,crop_shock,fixed020,0.2,2644,1924,0.0702134188910549,0.07038579971858386,-0.00017238082752896178,,
0,crop_shock,fixed025,0.25,2644,1924,0.07028379050504924,0.07038579971858386,-0.00010200921353462067,,
0,date_shock,loo,0.1505801394845535,2644,2410,0.07037938422436435,0.07038579971858386,-6.4154942195082665e-06,,
0,date_shock,fixed010,0.1,2644,2410,0.07033495237170782,0.07038579971858386,-5.084734687603454e-05,,
0,date_shock,fixed015,0.15,2644,2410,0.0703786076717076,0.07038579971858386,-7.192046876255964e-06,,
0,date_shock,fixed020,0.2,2644,2410,0.07046823159813995,0.07038579971858386,8.243187955608855e-05,,
0,date_shock,fixed025,0.25,2644,2410,0.070603649094174,0.07038579971858386,0.00021784937559014839,,
0,state,loo,-0.030145143612960012,2644,2644,0.07038103915417818,0.07038579971858386,-4.7605644056814e-06,,
0,state,fixed010,0.1,2644,2644,0.0704333861113703,0.07038579971858386,4.75863927864445e-05,,
0,state,fixed015,0.15,2644,2644,0.07047547826429064,0.07038579971858386,8.967854570678113e-05,,
0,state,fixed020,0.2,2644,2644,0.0705297427094612,0.07038579971858386,0.00014394299087734652,,
0,state,fixed025,0.25,2644,2644,0.07059615137782121,0.07038579971858386,0.00021035165923735666,,
0,joint_crop_state,loo,0.1710627961832601,2644,1924,0.07018463549639632,0.07038579971858386,-0.00020116422218753593,0.1670830462619882,-0.03668427305876313
0,crop_shock,loo_slice_all,0.16914792555987235,2644,1924,0.07019263246609757,0.07038579971858386,-0.00019316725248628985,,
0,crop_shock,loo_slice_history,0.16914792555987235,1888,1202,0.07707178315807814,0.07728638357786857,-0.00021460041979043387,,
0,crop_shock,loo_slice_2025,0.16914792555987235,756,722,0.04895968160871672,0.04908457927051068,-0.00012489766179395873,,
0,crop_shock,loo_slice_new2025,0.16914792555987235,379,362,0.052736125708323936,0.05227010084270379,0.0004660248656201474,,
0,crop_shock,loo_slice_shared2025,0.16914792555987235,377,360,0.04484377882147808,0.04565868567074815,-0.0008149068492700681,,
1,crop_shock,loo,0.15173847664093898,2644,1920,0.06267713191173088,0.06302249906578815,-0.00034536715405726615,,
1,crop_shock,fixed010,0.1,2644,1920,0.06274857017702415,0.06302249906578815,-0.00027392888876399957,,
1,crop_shock,fixed015,0.15,2644,1920,0.06267875066679122,0.06302249906578815,-0.00034374839899692367,,
1,crop_shock,fixed020,0.2,2644,1920,0.06265392595874038,0.06302249906578815,-0.00036857310704777047,,
1,crop_shock,fixed025,0.25,2644,1920,0.06267414951909238,0.06302249906578815,-0.0003483495466957698,,
1,date_shock,loo,0.12006347483242567,2644,2393,0.06278057119647291,0.06302249906578815,-0.0002419278693152338,,
1,date_shock,fixed010,0.1,2644,2393,0.06280278915255483,0.06302249906578815,-0.00021970991323332079,,
1,date_shock,fixed015,0.15,2644,2393,0.06276105171138631,0.06302249906578815,-0.0002614473544018392,,
1,date_shock,fixed020,0.2,2644,2393,0.06276487959522736,0.06302249906578815,-0.0002576194705607854,,
1,date_shock,fixed025,0.25,2644,2393,0.06281426447386378,0.06302249906578815,-0.00020823459192437221,,
1,state,loo,-0.04565914449622949,2644,2644,0.06302845501373823,0.06302249906578815,5.955947950081475e-06,,
1,state,fixed010,0.1,2644,2644,0.06305097039216508,0.06302249906578815,2.847132637692762e-05,,
1,state,fixed015,0.15,2644,2644,0.0630865632320135,0.06302249906578815,6.406416622535549e-05,,
1,state,fixed020,0.2,2644,2644,0.0631363652938355,0.06302249906578815,0.00011386622804734903,,
1,state,fixed025,0.25,2644,2644,0.06320034298691005,0.06302249906578815,0.00017784392112189795,,
1,joint_crop_state,loo,0.15824920052275807,2644,1920,0.06268244290092102,0.06302249906578815,-0.0003400561648671252,0.15013866306666165,-0.050011911767573324
1,crop_shock,loo_slice_all,0.15173847664093898,2644,1920,0.06267713191173088,0.06302249906578815,-0.00034536715405726615,,
1,crop_shock,loo_slice_history,0.15173847664093898,1888,1208,0.06613042894255851,0.06653299348836357,-0.00040256454580506196,,
1,crop_shock,loo_slice_2025,0.15173847664093898,756,712,0.053080812862341065,0.05325437999056939,-0.00017356712822832326,,
1,crop_shock,loo_slice_new2025,0.15173847664093898,379,356,0.057022903602045046,0.05689598233384905,0.00012692126819599525,,
1,crop_shock,loo_slice_shared2025,0.15173847664093898,377,356,0.04879786122079775,0.049323191226990734,-0.0005253300061929811,,
2,crop_shock,loo,0.16711209540220037,2644,1926,0.06491846793293864,0.06514008799161364,-0.00022162005867500112,,
2,crop_shock,fixed010,0.1,2644,1926,0.06494333011602023,0.06514008799161364,-0.00019675787559340907,,
2,crop_shock,fixed015,0.15,2644,1926,0.06491661249135894,0.06514008799161364,-0.00022347550025469953,,
