width,radius,source_profile,agg,held_seed,mode,alpha,n,coverage,rmse,base_rmse,delta
12,4,True,inv2,0,loo,0.3403691211,2644,0.9931921331,0.0696573697,0.0703032685,-0.0006458988
12,4,True,inv2,0,fixed020,0.2000000000,2644,0.9931921331,0.0697561941,0.0703032685,-0.0005470744
12,4,True,inv2,1,loo,0.3397138101,2644,0.9863842663,0.0619923329,0.0627891573,-0.0007968244
12,4,True,inv2,1,fixed020,0.2000000000,2644,0.9863842663,0.0621178694,0.0627891573,-0.0006712878
12,4,True,inv2,2,loo,0.3463996916,2644,0.9886535552,0.0645407747,0.0651086475,-0.0005678728
12,4,True,inv2,2,fixed020,0.2000000000,2644,0.9886535552,0.0646038731,0.0651086475,-0.0005047744
12,4,True,inv2,70404,loo,0.3234922985,2644,0.9901664145,0.0672733841,0.0680908876,-0.0008175035
12,4,True,inv2,70404,fixed020,0.2000000000,2644,0.9901664145,0.0674452491,0.0680908876,-0.0006456385
12,4,True,median,0,loo,0.3713904380,2644,0.9931921331,0.0697736778,0.0703032685,-0.0005295907
12,4,True,median,0,fixed020,0.2000000000,2644,0.9931921331,0.0698779625,0.0703032685,-0.0004253060
12,4,True,median,1,loo,0.3609920765,2644,0.9863842663,0.0620315154,0.0627891573,-0.0007576419
12,4,True,median,1,fixed020,0.2000000000,2644,0.9863842663,0.0622077601,0.0627891573,-0.0005813972
12,4,True,median,2,loo,0.3571122161,2644,0.9886535552,0.0644163937,0.0651086475,-0.0006922538
12,4,True,median,2,fixed020,0.2000000000,2644,0.9886535552,0.0645867534,0.0651086475,-0.0005218941
12,4,True,median,70404,loo,0.3841158573,2644,0.9901664145,0.0676991484,0.0680908876,-0.0003917392
12,4,True,median,70404,fixed020,0.2000000000,2644,0.9901664145,0.0677383369,0.0680908876,-0.0003525507
12,4,True,mean,0,loo,0.3935134230,2644,0.9931921331,0.0697786935,0.0703032685,-0.0005245750
12,4,True,mean,0,fixed020,0.2000000000,2644,0.9931921331,0.0698511378,0.0703032685,-0.0004521307
12,4,True,mean,1,loo,0.3703669019,2644,0.9863842663,0.0618247290,0.0627891573,-0.0009644283
12,4,True,mean,1,fixed020,0.2000000000,2644,0.9863842663,0.0620663391,0.0627891573,-0.0007228182
12,4,True,mean,2,loo,0.3685599846,2644,0.9886535552,0.0642469135,0.0651086475,-0.0008617340
12,4,True,mean,2,fixed020,0.2000000000,2644,0.9886535552,0.0644698741,0.0651086475,-0.0006387734
12,4,True,mean,70404,loo,0.3844976716,2644,0.9901664145,0.0674500872,0.0680908876,-0.0006408004
12,4,True,mean,70404,fixed020,0.2000000000,2644,0.9901664145,0.0675779713,0.0680908876,-0.0005129163
12,4,True,exp,0,loo,0.3894897974,2644,0.9931921331,0.0697076940,0.0703032685,-0.0005955745
12,4,True,exp,0,fixed020,0.2000000000,2644,0.9931921331,0.0698114397,0.0703032685,-0.0004918288
12,4,True,exp,1,loo,0.3734976557,2644,0.9863842663,0.0618441702,0.0627891573,-0.0009449871
12,4,True,exp,1,fixed020,0.2000000000,2644,0.9863842663,0.0620750152,0.0627891573,-0.0007141421
12,4,True,exp,2,loo,0.3763134947,2644,0.9886535552,0.0643290606,0.0651086475,-0.0007795869
12,4,True,exp,2,fixed020,0.2000000000,2644,0.9886535552,0.0645146473,0.0651086475,-0.0005940002
12,4,True,exp,70404,loo,0.3793972180,2644,0.9901664145,0.0673829168,0.0680908876,-0.0007079708
12,4,True,exp,70404,fixed020,0.2000000000,2644,0.9901664145,0.0675430662,0.0680908876,-0.0005478214
12,8,False,inv1,0,loo,0.2631772644,2644,0.9950832073,0.0698021008,0.0703032685,-0.0005011678
12,8,False,inv1,0,fixed020,0.2000000000,2644,0.9950832073,0.0697502182,0.0703032685,-0.0005530503
12,8,False,inv1,1,loo,0.2493009751,2644,0.9897881997,0.0618061148,0.0627891573,-0.0009830424
12,8,False,inv1,1,fixed020,0.2000000000,2644,0.9897881997,0.0618383204,0.0627891573,-0.0009508369
12,8,False,inv1,2,loo,0.2494385591,2644,0.9924357035,0.0642292983,0.0651086475,-0.0008793492
12,8,False,inv1,2,fixed020,0.2000000000,2644,0.9924357035,0.0642571116,0.0651086475,-0.0008515359
12,8,False,inv1,70404,loo,0.2301945749,2644,0.9916792738,0.0668928748,0.0680908876,-0.0011980128
12,8,False,inv1,70404,fixed020,0.2000000000,2644,0.9916792738,0.0669675807,0.0680908876,-0.0011233069
12,8,False,inv2,0,loo,0.2309561113,2644,0.9950832073,0.0698294416,0.0703032685,-0.0004738269
12,8,False,inv2,0,fixed020,0.2000000000,2644,0.9950832073,0.0697928215,0.0703032685,-0.0005104470
12,8,False,inv2,1,loo,0.2235757677,2644,0.9897881997,0.0619715534,0.0627891573,-0.0008176038
12,8,False,inv2,1,fixed020,0.2000000000,2644,0.9897881997,0.0619639910,0.0627891573,-0.0008251663
12,8,False,inv2,2,loo,0.2214582327,2644,0.9924357035,0.0643293290,0.0651086475,-0.0007793185
12,8,False,inv2,2,fixed020,0.2000000000,2644,0.9924357035,0.0643278164,0.0651086475,-0.0007808311
12,8,False,inv2,70404,loo,0.1974796843,2644,0.9916792738,0.0668855763,0.0680908876,-0.0012053113
12,8,False,inv2,70404,fixed020,0.2000000000,2644,0.9916792738,0.0668784044,0.0680908876,-0.0012124832
12,8,False,median,0,loo,0.2497910603,2644,0.9950832073,0.0699191766,0.0703032685,-0.0003840919
12,8,False,median,0,fixed020,0.2000000000,2644,0.9950832073,0.0698862915,0.0703032685,-0.0004169771
12,8,False,median,1,loo,0.2292358414,2644,0.9897881997,0.0619529810,0.0627891573,-0.0008361762
12,8,False,median,1,fixed020,0.2000000000,2644,0.9897881997,0.0619835254,0.0627891573,-0.0008056319
12,8,False,median,2,loo,0.2411940218,2644,0.9924357035,0.0645775463,0.0651086475,-0.0005311011
12,8,False,median,2,fixed020,0.2000000000,2644,0.9924357035,0.0645761584,0.0651086475,-0.0005324891
12,8,False,median,70404,loo,0.2234743436,2644,0.9916792738,0.0672914281,0.0680908876,-0.0007994595
12,8,False,median,70404,fixed020,0.2000000000,2644,0.9916792738,0.0673240559,0.0680908876,-0.0007668317
12,8,False,mean,0,loo,0.2645849340,2644,0.9950832073,0.0698272860,0.0703032685,-0.0004759825
12,8,False,mean,0,fixed020,0.2000000000,2644,0.9950832073,0.0697841525,0.0703032685,-0.0005191160
12,8,False,mean,1,loo,0.2444471717,2644,0.9897881997,0.0617486001,0.0627891573,-0.0010405572
12,8,False,mean,1,fixed020,0.2000000000,2644,0.9897881997,0.0618063314,0.0627891573,-0.0009828259
12,8,False,mean,2,loo,0.2510230967,2644,0.9924357035,0.0642853294,0.0651086475,-0.0008233181
12,8,False,mean,2,fixed020,0.2000000000,2644,0.9924357035,0.0643150947,0.0651086475,-0.0007935528
12,8,False,mean,70404,loo,0.2399359310,2644,0.9916792738,0.0671124583,0.0680908876,-0.0009784293
12,8,False,mean,70404,fixed020,0.2000000000,2644,0.9916792738,0.0671748883,0.0680908876,-0.0009159993
12,8,False,exp,0,loo,0.2693705041,2644,0.9950832073,0.0697892410,0.0703032685,-0.0005140275
12,8,False,exp,0,fixed020,0.2000000000,2644,0.9950832073,0.0697420779,0.0703032685,-0.0005611906
12,8,False,exp,1,loo,0.2544976987,2644,0.9897881997,0.0617765472,0.0627891573,-0.0010126101
12,8,False,exp,1,fixed020,0.2000000000,2644,0.9897881997,0.0618229849,0.0627891573,-0.0009661724
12,8,False,exp,2,loo,0.2550138394,2644,0.9924357035,0.0642049682,0.0651086475,-0.0009036793
12,8,False,exp,2,fixed020,0.2000000000,2644,0.9924357035,0.0642444015,0.0651086475,-0.0008642460
12,8,False,exp,70404,loo,0.2389060637,2644,0.9916792738,0.0669313506,0.0680908876,-0.0011595370
12,8,False,exp,70404,fixed020,0.2000000000,2644,0.9916792738,0.0670180372,0.0680908876,-0.0010728504
12,8,True,inv1,0,loo,0.4066377657,2644,0.9950832073,0.0696911114,0.0703032685,-0.0006121571
12,8,True,inv1,0,fixed020,0.2000000000,2644,0.9950832073,0.0698023571,0.0703032685,-0.0005009114
12,8,True,inv1,1,loo,0.3822989836,2644,0.9897881997,0.0617737382,0.0627891573,-0.0010154191
12,8,True,inv1,1,fixed020,0.2000000000,2644,0.9897881997,0.0620542490,0.0627891573,-0.0007349082
12,8,True,inv1,2,loo,0.3973253480,2644,0.9924357035,0.0643983128,0.0651086475,-0.0007103347
12,8,True,inv1,2,fixed020,0.2000000000,2644,0.9924357035,0.0645617833,0.0651086475,-0.0005468642
12,8,True,inv1,70404,loo,0.3905728268,2644,0.9916792738,0.0673368848,0.0680908876,-0.0007540028
12,8,True,inv1,70404,fixed020,0.2000000000,2644,0.9916792738,0.0675310587,0.0680908876,-0.0005598289
12,8,True,inv2,0,loo,0.3550833210,2644,0.9950832073,0.0696506402,0.0703032685,-0.0006526283
12,8,True,inv2,0,fixed020,0.2000000000,2644,0.9950832073,0.0697560179,0.0703032685,-0.0005472506
12,8,True,inv2,1,loo,0.3500780023,2644,0.9897881997,0.0619443518,0.0627891573,-0.0008448055
12,8,True,inv2,1,fixed020,0.2000000000,2644,0.9897881997,0.0621006614,0.0627891573,-0.0006884959
12,8,True,inv2,2,loo,0.3594249571,2644,0.9924357035,0.0645254855,0.0651086475,-0.0005831620
12,8,True,inv2,2,fixed020,0.2000000000,2644,0.9924357035,0.0646003745,0.0651086475,-0.0005082730
12,8,True,inv2,70404,loo,0.3361230836,2644,0.9916792738,0.0672606910,0.0680908876,-0.0008301966
12,8,True,inv2,70404,fixed020,0.2000000000,2644,0.9916792738,0.0674505543,0.0680908876,-0.0006403333
12,8,True,median,0,loo,0.3837196957,2644,0.9950832073,0.0699105874,0.0703032685,-0.0003926811
12,8,True,median,0,fixed020,0.2000000000,2644,0.9950832073,0.0699617311,0.0703032685,-0.0003415374
12,8,True,median,1,loo,0.3425834270,2644,0.9897881997,0.0620456410,0.0627891573,-0.0007435162
12,8,True,median,1,fixed020,0.2000000000,2644,0.9897881997,0.0622445766,0.0627891573,-0.0005445807
12,8,True,median,2,loo,0.3729614989,2644,0.9924357035,0.0646505765,0.0651086475,-0.0004580710
12,8,True,median,2,fixed020,0.2000000000,2644,0.9924357035,0.0647386216,0.0651086475,-0.0003700259
12,8,True,median,70404,loo,0.3774985870,2644,0.9916792738,0.0676792650,0.0680908876,-0.0004116226
12,8,True,median,70404,fixed020,0.2000000000,2644,0.9916792738,0.0677477538,0.0680908876,-0.0003431338
12,8,True,mean,0,loo,0.4010916541,2644,0.9950832073,0.0698448704,0.0703032685,-0.0004583981
12,8,True,mean,0,fixed020,0.2000000000,2644,0.9950832073,0.0698963943,0.0703032685,-0.0004068742
12,8,True,mean,1,loo,0.3535894310,2644,0.9897881997,0.0617514638,0.0627891573,-0.0010376934
12,8,True,mean,1,fixed020,0.2000000000,2644,0.9897881997,0.0620493099,0.0627891573,-0.0007398474
12,8,True,mean,2,loo,0.3842290460,2644,0.9924357035,0.0644390322,0.0651086475,-0.0006696153
12,8,True,mean,2,fixed020,0.2000000000,2644,0.9924357035,0.0645887449,0.0651086475,-0.0005199026
12,8,True,mean,70404,loo,0.3924681454,2644,0.9916792738,0.0675463617,0.0680908876,-0.0005445259
12,8,True,mean,70404,fixed020,0.2000000000,2644,0.9916792738,0.0676436952,0.0680908876,-0.0004471924
12,8,True,exp,0,loo,0.4125222146,2644,0.9950832073,0.0697264368,0.0703032685,-0.0005768317
12,8,True,exp,0,fixed020,0.2000000000,2644,0.9950832073,0.0698282504,0.0703032685,-0.0004750181
12,8,True,exp,1,loo,0.3828315830,2644,0.9897881997,0.0617516641,0.0627891573,-0.0010374931
12,8,True,exp,1,fixed020,0.2000000000,2644,0.9897881997,0.0620513022,0.0627891573,-0.0007378550
12,8,True,exp,2,loo,0.3983431085,2644,0.9924357035,0.0643616212,0.0651086475,-0.0007470263
12,8,True,exp,2,fixed020,0.2000000000,2644,0.9924357035,0.0645487685,0.0651086475,-0.0005598790
12,8,True,exp,70404,loo,0.4005652116,2644,0.9916792738,0.0674063115,0.0680908876,-0.0006845761
12,8,True,exp,70404,fixed020,0.2000000000,2644,0.9916792738,0.0675713622,0.0680908876,-0.0005195254
12,16,False,inv1,0,loo,0.2767632786,2644,0.9958396369,0.0698486159,0.0703032685,-0.0004546526
12,16,False,inv1,0,fixed020,0.2000000000,2644,0.9958396369,0.0697806882,0.0703032685,-0.0005225803
12,16,False,inv1,1,loo,0.2596107822,2644,0.9913010590,0.0618076165,0.0627891573,-0.0009815408
12,16,False,inv1,1,fixed020,0.2000000000,2644,0.9913010590,0.0618535873,0.0627891573,-0.0009355699
12,16,False,inv1,2,loo,0.2575955421,2644,0.9931921331,0.0641926882,0.0651086475,-0.0009159593
12,16,False,inv1,2,fixed020,0.2000000000,2644,0.9931921331,0.0642429314,0.0651086475,-0.0008657161
12,16,False,inv1,70404,loo,0.2400804137,2644,0.9928139183,0.0669075629,0.0680908876,-0.0011833247
12,16,False,inv1,70404,fixed020,0.2000000000,2644,0.9928139183,0.0670055789,0.0680908876,-0.0010853087
12,16,False,inv2,0,loo,0.2356885578,2644,0.9958396369,0.0698300202,0.0703032685,-0.0004732483
12,16,False,inv2,0,fixed020,0.2000000000,2644,0.9958396369,0.0697884495,0.0703032685,-0.0005148190
12,16,False,inv2,1,loo,0.2278228442,2644,0.9913010590,0.0619644632,0.0627891573,-0.0008246941
12,16,False,inv2,1,fixed020,0.2000000000,2644,0.9913010590,0.0619572619,0.0627891573,-0.0008318954
12,16,False,inv2,2,loo,0.2245491031,2644,0.9931921331,0.0642981236,0.0651086475,-0.0008105239
12,16,False,inv2,2,fixed020,0.2000000000,2644,0.9931921331,0.0643010624,0.0651086475,-0.0008075851
12,16,False,inv2,70404,loo,0.2016420818,2644,0.9928139183,0.0668796027,0.0680908876,-0.0012112849
12,16,False,inv2,70404,fixed020,0.2000000000,2644,0.9928139183,0.0668842491,0.0680908876,-0.0012066385
12,16,False,median,0,loo,0.2650683924,2644,0.9958396369,0.0700908027,0.0703032685,-0.0002124658
12,16,False,median,0,fixed020,0.2000000000,2644,0.9958396369,0.0700208670,0.0703032685,-0.0002824015
12,16,False,median,1,loo,0.2381696793,2644,0.9913010590,0.0621236413,0.0627891573,-0.0006655160
12,16,False,median,1,fixed020,0.2000000000,2644,0.9913010590,0.0621507310,0.0627891573,-0.0006384263
12,16,False,median,2,loo,0.2350098642,2644,0.9931921331,0.0644644146,0.0651086475,-0.0006442329
12,16,False,median,2,fixed020,0.2000000000,2644,0.9931921331,0.0644951089,0.0651086475,-0.0006135386
12,16,False,median,70404,loo,0.2298188243,2644,0.9928139183,0.0673843582,0.0680908876,-0.0007065295
12,16,False,median,70404,fixed020,0.2000000000,2644,0.9928139183,0.0674201190,0.0680908876,-0.0006707686
12,16,False,mean,0,loo,0.2716996426,2644,0.9958396369,0.0700433043,0.0703032685,-0.0002599642
12,16,False,mean,0,fixed020,0.2000000000,2644,0.9958396369,0.0699522062,0.0703032685,-0.0003510623
12,16,False,mean,1,loo,0.2411745285,2644,0.9913010590,0.0618770016,0.0627891573,-0.0009121557
12,16,False,mean,1,fixed020,0.2000000000,2644,0.9913010590,0.0619274811,0.0627891573,-0.0008616762
12,16,False,mean,2,loo,0.2429152360,2644,0.9931921331,0.0643026436,0.0651086475,-0.0008060039
12,16,False,mean,2,fixed020,0.2000000000,2644,0.9931921331,0.0643456737,0.0651086475,-0.0007629738
12,16,False,mean,70404,loo,0.2370159984,2644,0.9928139183,0.0672307878,0.0680908876,-0.0008600998
12,16,False,mean,70404,fixed020,0.2000000000,2644,0.9928139183,0.0672837389,0.0680908876,-0.0008071487
12,16,False,exp,0,loo,0.2778388877,2644,0.9958396369,0.0698217738,0.0703032685,-0.0004814947
12,16,False,exp,0,fixed020,0.2000000000,2644,0.9958396369,0.0697645206,0.0703032685,-0.0005387479
12,16,False,exp,1,loo,0.2606453595,2644,0.9913010590,0.0617818225,0.0627891573,-0.0010073348
12,16,False,exp,1,fixed020,0.2000000000,2644,0.9913010590,0.0618377270,0.0627891573,-0.0009514303
12,16,False,exp,2,loo,0.2594740723,2644,0.9931921331,0.0641750657,0.0651086475,-0.0009335818
12,16,False,exp,2,fixed020,0.2000000000,2644,0.9931921331,0.0642311790,0.0651086475,-0.0008774685
12,16,False,exp,70404,loo,0.2454715215,2644,0.9928139183,0.0669501255,0.0680908876,-0.0011407621
12,16,False,exp,70404,fixed020,0.2000000000,2644,0.9928139183,0.0670487520,0.0680908876,-0.0010421356
12,16,True,inv1,0,loo,0.4290602558,2644,0.9958396369,0.0697567286,0.0703032685,-0.0005465399
12,16,True,inv1,0,fixed020,0.2000000000,2644,0.9958396369,0.0698386207,0.0703032685,-0.0004646478
12,16,True,inv1,1,loo,0.3917440286,2644,0.9913010590,0.0617670205,0.0627891573,-0.0010221368
12,16,True,inv1,1,fixed020,0.2000000000,2644,0.9913010590,0.0620775045,0.0627891573,-0.0007116528
12,16,True,inv1,2,loo,0.4095215864,2644,0.9931921331,0.0644114790,0.0651086475,-0.0006971685
12,16,True,inv1,2,fixed020,0.2000000000,2644,0.9931921331,0.0645916781,0.0651086475,-0.0005169694
12,16,True,inv1,70404,loo,0.4048662292,2644,0.9928139183,0.0673348740,0.0680908876,-0.0007560136
12,16,True,inv1,70404,fixed020,0.2000000000,2644,0.9928139183,0.0675430817,0.0680908876,-0.0005478059
12,16,True,inv2,0,loo,0.3624672123,2644,0.9958396369,0.0696717361,0.0703032685,-0.0006315324
12,16,True,inv2,0,fixed020,0.2000000000,2644,0.9958396369,0.0697693397,0.0703032685,-0.0005339288
12,16,True,inv2,1,loo,0.3529300856,2644,0.9913010590,0.0619302488,0.0627891573,-0.0008589085
12,16,True,inv2,1,fixed020,0.2000000000,2644,0.9913010590,0.0621008859,0.0627891573,-0.0006882713
12,16,True,inv2,2,loo,0.3631293653,2644,0.9931921331,0.0645212518,0.0651086475,-0.0005873957
12,16,True,inv2,2,fixed020,0.2000000000,2644,0.9931921331,0.0646052233,0.0651086475,-0.0005034242
12,16,True,inv2,70404,loo,0.3412663991,2644,0.9928139183,0.0672603954,0.0680908876,-0.0008304922
12,16,True,inv2,70404,fixed020,0.2000000000,2644,0.9928139183,0.0674547309,0.0680908876,-0.0006361568
12,16,True,median,0,loo,0.4513406236,2644,0.9958396369,0.0700537711,0.0703032685,-0.0002494974
12,16,True,median,0,fixed020,0.2000000000,2644,0.9958396369,0.0700318116,0.0703032685,-0.0002714569
12,16,True,median,1,loo,0.3866989576,2644,0.9913010590,0.0621192562,0.0627891573,-0.0006699011
12,16,True,median,1,fixed020,0.2000000000,2644,0.9913010590,0.0623336882,0.0627891573,-0.0004554691
12,16,True,median,2,loo,0.3975229676,2644,0.9931921331,0.0645908097,0.0651086475,-0.0005178378
12,16,True,median,2,fixed020,0.2000000000,2644,0.9931921331,0.0647504947,0.0651086475,-0.0003581528
12,16,True,median,70404,loo,0.4109713609,2644,0.9928139183,0.0675885630,0.0680908876,-0.0005023246
12,16,True,median,70404,fixed020,0.2000000000,2644,0.9928139183,0.0677208955,0.0680908876,-0.0003699921
12,16,True,mean,0,loo,0.4295864180,2644,0.9958396369,0.0699655986,0.0703032685,-0.0003376699
12,16,True,mean,0,fixed020,0.2000000000,2644,0.9958396369,0.0699569928,0.0703032685,-0.0003462757
12,16,True,mean,1,loo,0.3617885111,2644,0.9913010590,0.0617937164,0.0627891573,-0.0009954409
12,16,True,mean,1,fixed020,0.2000000000,2644,0.9913010590,0.0621031125,0.0627891573,-0.0006860448
12,16,True,mean,2,loo,0.3952443716,2644,0.9931921331,0.0644902931,0.0651086475,-0.0006183544
12,16,True,mean,2,fixed020,0.2000000000,2644,0.9931921331,0.0646483225,0.0651086475,-0.0004603250
12,16,True,mean,70404,loo,0.4034915796,2644,0.9928139183,0.0675282612,0.0680908876,-0.0005626264
12,16,True,mean,70404,fixed020,0.2000000000,2644,0.9928139183,0.0676520209,0.0680908876,-0.0004388667
12,16,True,exp,0,loo,0.4268121755,2644,0.9958396369,0.0697727959,0.0703032685,-0.0005304726
12,16,True,exp,0,fixed020,0.2000000000,2644,0.9958396369,0.0698533870,0.0703032685,-0.0004498815
12,16,True,exp,1,loo,0.3884093934,2644,0.9913010590,0.0617557897,0.0627891573,-0.0010333675
12,16,True,exp,1,fixed020,0.2000000000,2644,0.9913010590,0.0620715911,0.0627891573,-0.0007175662
12,16,True,exp,2,loo,0.4053868287,2644,0.9931921331,0.0643680165,0.0651086475,-0.0007406310
12,16,True,exp,2,fixed020,0.2000000000,2644,0.9931921331,0.0645669826,0.0651086475,-0.0005416649
12,16,True,exp,70404,loo,0.4096292345,2644,0.9928139183,0.0674071633,0.0680908876,-0.0006837243
12,16,True,exp,70404,fixed020,0.2000000000,2644,0.9928139183,0.0675793905,0.0680908876,-0.0005114971
12,32,False,inv1,0,loo,0.2851996606,2644,0.9977307110,0.0698788621,0.0703032685,-0.0004244064
12,32,False,inv1,0,fixed020,0.2000000000,2644,0.9977307110,0.0697993248,0.0703032685,-0.0005039437
12,32,False,inv1,1,loo,0.2620208118,2644,0.9928139183,0.0617504396,0.0627891573,-0.0010387177
12,32,False,inv1,1,fixed020,0.2000000000,2644,0.9928139183,0.0618227890,0.0627891573,-0.0009663683
12,32,False,inv1,2,loo,0.2655710966,2644,0.9943267776,0.0642323226,0.0651086475,-0.0008763249
12,32,False,inv1,2,fixed020,0.2000000000,2644,0.9943267776,0.0642815497,0.0651086475,-0.0008270978
12,32,False,inv1,70404,loo,0.2462616173,2644,0.9947049924,0.0669196195,0.0680908876,-0.0011712681
12,32,False,inv1,70404,fixed020,0.2000000000,2644,0.9947049924,0.0670305336,0.0680908876,-0.0010603540
12,32,False,inv2,0,loo,0.2358076716,2644,0.9977307110,0.0698428972,0.0703032685,-0.0004603713
12,32,False,inv2,0,fixed020,0.2000000000,2644,0.9977307110,0.0697996747,0.0703032685,-0.0005035938
12,32,False,inv2,1,loo,0.2267477036,2644,0.9928139183,0.0619559386,0.0627891573,-0.0008332187
12,32,False,inv2,1,fixed020,0.2000000000,2644,0.9928139183,0.0619514961,0.0627891573,-0.0008376612
12,32,False,inv2,2,loo,0.2248995424,2644,0.9943267776,0.0643200831,0.0651086475,-0.0007885644
12,32,False,inv2,2,fixed020,0.2000000000,2644,0.9943267776,0.0643209662,0.0651086475,-0.0007876813
12,32,False,inv2,70404,loo,0.2010637389,2644,0.9947049924,0.0668847840,0.0680908876,-0.0012061036
12,32,False,inv2,70404,fixed020,0.2000000000,2644,0.9947049924,0.0668878056,0.0680908876,-0.0012030820
12,32,False,median,0,loo,0.2720999782,2644,0.9977307110,0.0701712005,0.0703032685,-0.0001320680
12,32,False,median,0,fixed020,0.2000000000,2644,0.9977307110,0.0700860218,0.0703032685,-0.0002172467
12,32,False,median,1,loo,0.2311153930,2644,0.9928139183,0.0621360915,0.0627891573,-0.0006530658
12,32,False,median,1,fixed020,0.2000000000,2644,0.9928139183,0.0621722654,0.0627891573,-0.0006168918
12,32,False,median,2,loo,0.2368034870,2644,0.9943267776,0.0645377533,0.0651086475,-0.0005708942
12,32,False,median,2,fixed020,0.2000000000,2644,0.9943267776,0.0645664869,0.0651086475,-0.0005421606
12,32,False,median,70404,loo,0.2359763721,2644,0.9947049924,0.0674995819,0.0680908876,-0.0005913057
12,32,False,median,70404,fixed020,0.2000000000,2644,0.9947049924,0.0675289949,0.0680908876,-0.0005618928
12,32,False,mean,0,loo,0.2826030845,2644,0.9977307110,0.0701317358,0.0703032685,-0.0001715327
12,32,False,mean,0,fixed020,0.2000000000,2644,0.9977307110,0.0700145368,0.0703032685,-0.0002887317
12,32,False,mean,1,loo,0.2399350174,2644,0.9928139183,0.0618719125,0.0627891573,-0.0009172447
12,32,False,mean,1,fixed020,0.2000000000,2644,0.9928139183,0.0619378596,0.0627891573,-0.0008512977
12,32,False,mean,2,loo,0.2509308670,2644,0.9943267776,0.0644027724,0.0651086475,-0.0007058751
12,32,False,mean,2,fixed020,0.2000000000,2644,0.9943267776,0.0644414393,0.0651086475,-0.0006672082
12,32,False,mean,70404,loo,0.2416875386,2644,0.9947049924,0.0672741804,0.0680908876,-0.0008167072
12,32,False,mean,70404,fixed020,0.2000000000,2644,0.9947049924,0.0673321801,0.0680908876,-0.0007587075
12,32,False,exp,0,loo,0.2781578461,2644,0.9977307110,0.0698383084,0.0703032685,-0.0004649601
12,32,False,exp,0,fixed020,0.2000000000,2644,0.9977307110,0.0697768157,0.0703032685,-0.0005264528
12,32,False,exp,1,loo,0.2594748676,2644,0.9928139183,0.0617737057,0.0627891573,-0.0010154516
12,32,False,exp,1,fixed020,0.2000000000,2644,0.9928139183,0.0618328855,0.0627891573,-0.0009562718
12,32,False,exp,2,loo,0.2598419090,2644,0.9943267776,0.0641956148,0.0651086475,-0.0009130327
12,32,False,exp,2,fixed020,0.2000000000,2644,0.9943267776,0.0642477789,0.0651086475,-0.0008608686
12,32,False,exp,70404,loo,0.2447601757,2644,0.9947049924,0.0669519498,0.0680908876,-0.0011389378
12,32,False,exp,70404,fixed020,0.2000000000,2644,0.9947049924,0.0670499817,0.0680908876,-0.0010409059
12,32,True,inv1,0,loo,0.4375127869,2644,0.9977307110,0.0699327296,0.0703032685,-0.0003705389
12,32,True,inv1,0,fixed020,0.2000000000,2644,0.9977307110,0.0699245498,0.0703032685,-0.0003787187
12,32,True,inv1,1,loo,0.3757167407,2644,0.9928139183,0.0617211065,0.0627891573,-0.0010680507
12,32,True,inv1,1,fixed020,0.2000000000,2644,0.9928139183,0.0620552469,0.0627891573,-0.0007339103
12,32,True,inv1,2,loo,0.4040914931,2644,0.9943267776,0.0644432330,0.0651086475,-0.0006654145
12,32,True,inv1,2,fixed020,0.2000000000,2644,0.9943267776,0.0646146804,0.0651086475,-0.0004939671
12,32,True,inv1,70404,loo,0.4008134117,2644,0.9947049924,0.0673872339,0.0680908876,-0.0007036537
12,32,True,inv1,70404,fixed020,0.2000000000,2644,0.9947049924,0.0675766758,0.0680908876,-0.0005142118
12,32,True,inv2,0,loo,0.3623423126,2644,0.9977307110,0.0698096555,0.0703032685,-0.0004936130
12,32,True,inv2,0,fixed020,0.2000000000,2644,0.9977307110,0.0698457205,0.0703032685,-0.0004575480
12,32,True,inv2,1,loo,0.3395264433,2644,0.9928139183,0.0619229451,0.0627891573,-0.0008662122
12,32,True,inv2,1,fixed020,0.2000000000,2644,0.9928139183,0.0620967007,0.0627891573,-0.0006924566
12,32,True,inv2,2,loo,0.3524396457,2644,0.9943267776,0.0645319922,0.0651086475,-0.0005766553
12,32,True,inv2,2,fixed020,0.2000000000,2644,0.9943267776,0.0646145522,0.0651086475,-0.0004940953
12,32,True,inv2,70404,loo,0.3304893823,2644,0.9947049924,0.0672803705,0.0680908876,-0.0008105171
12,32,True,inv2,70404,fixed020,0.2000000000,2644,0.9947049924,0.0674631439,0.0680908876,-0.0006277437
12,32,True,median,0,loo,0.4826828458,2644,0.9977307110,0.0702880957,0.0703032685,-0.0000151728
12,32,True,median,0,fixed020,0.2000000000,2644,0.9977307110,0.0701430990,0.0703032685,-0.0001601695
12,32,True,median,1,loo,0.3570222013,2644,0.9928139183,0.0620487553,0.0627891573,-0.0007404020
12,32,True,median,1,fixed020,0.2000000000,2644,0.9928139183,0.0622976623,0.0627891573,-0.0004914950
12,32,True,median,2,loo,0.3969754491,2644,0.9943267776,0.0646329890,0.0651086475,-0.0004756585
12,32,True,median,2,fixed020,0.2000000000,2644,0.9943267776,0.0647842070,0.0651086475,-0.0003244405
12,32,True,median,70404,loo,0.4244818183,2644,0.9947049924,0.0677319497,0.0680908876,-0.0003589379
12,32,True,median,70404,fixed020,0.2000000000,2644,0.9947049924,0.0678108083,0.0680908876,-0.0002800793
