kind,n,rmse_pooled,mae_pooled
wide,1114.0,0.06625868255369541,0.045754136208334205
default,1114.0,0.06639452170431788,0.046189359498005844
small,1114.0,0.06676995985604836,0.04654644677132961
smooth,1114.0,0.0672960395267665,0.046882730613613054
